Amharic,Oromo
ፍትሃዊ ነኝ።,Ani haqa qabeessa.
ፈጣን ነኝ።,Ani saffisaan jira.
ደህና ነኝ።,An nagaadha.
ነፃ ነኝ!,Ani bilisa ta'eera!
ነፃ ነኝ።,Ani bilisa ta'eera.
ጠግቤያለሁ።,Guudheera.
ጨዋታ ነኝ።,Ani taphadha.
ደስ ብሎኛል።,Gammadheera.
ቤት ነኝ።,Manaan jira.
አርፍጃለሁ።,Harkifadheera.
ሰነፍ ነኝ።,Ani dadhabaadha.
ተጠፋፋን።,Ani badeera.
ደህና ነኝ።,Ani tole jedheen.
ሀብታም ነኝ።,Ani dureessadha.
ደህና ነኝ።,Nagaa qaba.
እርግጠኛ ነኝ።,Ani mirkanaa'aa dha.
ረጅም ነኝ።,Ani dheeraadha.
ቀጭን ነኝ።,Ani qalladha.
ንፁህ ነኝ።,Ani qulqulluudha.
አስቀያሚ ነኝ።,Ani fokkisaadha.
ደካማ ነኝ።,Ani dadhabeera.
ደህና ነኝ።,Fayyaan jira.
አሸንፌያለሁ።,Injifadheera.
ይረዳል።,Ni gargaara.
ያማል።,Nama dhukkubsa.
ቶም ነው።,Toomiidha.
አዝናኝ ነው።,Nama gammachiisa.
የእሱ ነው።,Kan isaati.
እንግዳ ነገር ነው።,Waan ajaa'ibaati.
አሳዛኝ ነው።,Nama gaddisiisa.
መጠበቅ!,Ba'aa!
ቶምን ግደሉ።,Toomii ajjeesi.
ቶምን ሳም።,Toomii dhungadhu.
መተው።,Dhiisi.
ተወኝ።,Na dhiisi.
ተመልከት!,Of eeggadhaa!
ልሂድ?,Deemuu danda'aa?
ጥሩ ሙከራ።,Nice try.
አሁን አቁም!,Amma dhaabadhaa!
ሩጥ።,Baqadhaa.
ቶምን አስቀምጥ።,Toomii baraaruu.
ምን አልክ?,Maal jedhaa?
መጣች።,Isheenis dhufte.
ሞተች።,Duute.
ሄደች።,Isheenis deemte.
ትሮጣለች።,Isheen fiigdi.
ተቀመጥ።,Taa'aa.
እዚህ ተቀመጥ።,As taa'aa.
ተናገር!,Dubbadhu!
ማፍጠን።,Saffisaa.
ቁም።,Dhaabadhaa.
ቶም ይውሰዱ።,Toomii fudhadhu.
ቅመሱት።,Dhandhamaa.
ለቶም ንገረው።,Toomitti himaa.
አሸንፈዋል።,Injifatan.
ቶም አወቀ።,Toom ni beeka ture.
ቶም ይዋሻል።,Toom soba.
ቶም ጠፋ።,Toom ni mo'ame.
ቶም ሄደ።,Toom deeme.
ይንኩት።,Tuqaa.
እመነኝ።,Na amanaa.
ጥቂት ይሞክሩ።,Tokko tokko yaali.
ይህን ይሞክሩ።,Kana yaalaa.
ይህንን ተጠቀም።,Kana fayyadamaa.
ተመልከተኝ።,Na ilaalaa.
ይጠብቁን።,Nu daawwadhaa.
እንሄዳለን።,Ni deemna.
ደህና ነን።,Tole jennee jirra.
ለምን?,Maaliif?
እንዴት ደስ ይላል!,Akkam nama gammachiisa!
ማነኝ?,Ani eenyu?
ማን ወደቀ?,Eenyuutu kufe?
ማን ከፈለ?,Eenyutu kaffale?
ማነው እሱ?,Inni eenyu?
ፃፍልኝ።,Naaf barreessi.
ተሸነፍክ።,Ati mo'amte.
ካንተ በኋላ።,Si booda.
አርፍጃለሁ?,Harkifadheeraa?
መልስልኝ።,Naaf deebisaa.
ታማኝ ሁን።,Dhugaa dubbadhu.
ተቀመጡ።,Taa'aa.
በርቱ።,Jabaadhu.
ወፎች ይበርራሉ።,Simbirroonni balali'u.
ይባርክህ።,Isin eebbisaa.
ወደ ቤት ይደውሉ!,Manatti bilbilaa!
መሄድ እንችላለን?,Deemnee ni dandeenyaa?
ቶምን ይያዙ።,Toomii qabadhu.
ያዙት።,Isa qabadhaa.
ተርጋጋ።,Chill out ta'aa.
ምረጡኝ።,Na filadhaa.
ተመልሰዉ ይምጡ።,Deebi'aa koottaa.
እዚህ ይምጡ።,As kottu.
ቶሎ ና።,Yeroo dhiyootti kottaa.
ረጋ በይ።,Qabbanaa'aa.
አሸነፍኩ እንዴ?,Injifadheeraa?
አሁን ያድርጉት።,Amma hojjedhu.
ውሾች ይጮሃሉ።,Saroonni ni boo'u.
አትጠይቅ።,Hin gaafatinaa.
አታልቅስ።,Hin boo'inaa.
አትዋሽ።,Hin sobin.
አትሩጡ።,Hin fiigin.
ይቀርታ።,Dhiifama.
ይቀርታ?,Dhiifama?
ድንቅ!,Baay'ee dinqii!
ይህን ተሰማዎት።,Kun sitti dhagahama.
ይህን ፊልም።,Filmii kana.
ተከተለኝ።,Na hordofaa.
ተከተሉን።,Nu hordofaa.
እርሳው!,Irraanfadhu!
እርሳው።,Irraanfadhu.
ረሳኝ።,Na dagadhu.
ስራ ማግኘት።,Hojii argadhu.
ሂድ።,Itti fufi.
ይዘጋጁ።,Qophaa'aa.
በፍጥነት ይሂዱ።,Saffisaan deemi.
ለእሱ ይሂዱ።,Itti deemi.
ሂድ ውሰድ።,Deemi fudhadhu.
ወደ ውስጥ ግባ።,Keessa seeni.
መልካም ምኞት።,Carraa gaarii.
ያንን ያዙት።,Sana qabadhu.
ይህን ያዙ።,Kana qabadhu.
እጅ ወጣ።,Harka irraa fagaatee.
ጥቂት ይኑርህ።,Tokko tokko qabaadhaa.
ታሟል።,Dhukkubsataa jira.
እሱ ዲጄ ነው።,Inni DJ dha.
እሱ ጥሩ ነው።,Inni gaarii dha.
ሰነፍ ነው።,Inni dadhabaadha.
እሱ የኔ ነው።,Inni kan kooti.
ሀብታም ነው።,Inni sooressaa dha.
ወደ ምስራቅ ይሂዱ።,Gara bahaatti qajeela.
ወደ ምእራብ ይሂዱ።,Gara dhihaatti qajeela.
5 እነሆ።,Kunoo 5.
ይህን ያዝ።,Kana qabadhaa.
እንዴት አስከፊ ነው!,Akkam nama suukanneessa!
አስቂኝ ቶም።,Qoosaa Toom.
ቀዝቃዛ ነኝ።,Ani qabbanaa'eera.
ሰላም ነንግ።,Ani gaarii dha.
እኔ እዚህ ነኝ።,Ani as jira.
ደህና ነኝ,Ani tole jedheen jira.
አሞኛል።,Ani dhukkubsadheera.
ደካማ ነኝ።,Ani dadhabaadha.
እለምንሃለሁ።,Siin kadhadha.
ብልጭ ድርግም አልኩኝ።,Anis ija koo jaamse.
መብረር እችላለሁ።,Balali'uu nan danda'a.
መሮጥ እችላለሁ።,Fiiguun danda'a.
አጭበረበርኩ።,Gowwoomse.
ደስ አለኝ።,jedheen gammade.
ተበላሽቻለሁ።,Kufeen kufe.
ደነገጥኩኝ።,Anis ni rifadhe.
ተነፈስኩ።,Hafuura baafadhe.
ራሴን ሳትቼ ቀረሁ።,Anis of wallaalee.
ፊቴን ጨፈርኩ።,jedheen fuula koo rurrukute.
ተስፋ ቆረጥኩ።,Abdii kenne.
እሰጣለሁ።,Ani harka kenna.
ተሸንፌአለሁ።,Abdii nan kenna.
ተደስቻለሁ።,jedheen gammade.
ተሞቅሁ።,Ho'een ture.
ፈገግ አልኩኝ።,jedheen qoonqa.
አቃሰተኝ።,jedheen boo'e.
አጉረመረምኩ።,jedheen gungumaa.
አለኝ።,Ani qaba.
ቶምን መታሁት።,Toom rukute.
እንደዛ ነው ተስፋዬ።,Akkasuma jedheen abdadha.
ቸኮልኩ።,Anis ariifadheen.
እወደዋለሁ።,Natti tola.
አጣሁት።,Nan dhabe.
በጣም እወደዋለሁ!,Ani baay'een jaalladha!
የምሬን ነው።,Jechuu kooti.
መሄድ አለብኝ።,Deemuu qaba.
ያስፈልገኛል።,Na barbaachisa.
አስተዉያለሁ።,Anis hubadheera.
ቃል እገባለሁ።,Waadaa nan gala.
ዘና አልኩኝ።,Boqodhe.
ጡረታ ወጣሁ።,Soorama ba'e.
አይደለም አልኩት።,Lakki jedheen.
አልኩት።,Anis akkas jedheen.
ቶምን አየሁ።,Toomiin argeera.
አየሁት።,Isa argeera.
አንዱን አየሁ።,Tokko argeera.
አየሁህ።,Si argeera.
እየተመለከትኩህ ነው።,Siin arga.
ጮህኩኝ።,jedheen iyye.
አፋለገዋለው።,Ani barbaada.
ታምሜ ነበር።,Dhukkubseen ture.
አዲስ ነበርኩ።,Ani haaraa ture.
ነቃሁ።,Hirribaa dammaqe.
እስማማለሁ ።,Aniis walii gala.
እደውላለሁ።,Bilbila.
እመጣለሁ።,Ani nan dhufa.
አብስላለሁ።,Ani nyaata bilcheessa.
እኖራለሁ።,Jiradha.
እሸከማለሁ,Ani paakkii godha.
አልፋለሁ።,Nan darba.
አቋርጣለሁ።,Ani nan dhiisa.
እቆያለሁ።,Ani nan hafa.
እናገራለሁ።,Nan haasa'a.
እጠብቃለሁ።,Ani nan eega.
እራመዳለሁ።,Ani nan deema.
እሰራለሁ።,Ani nan hojjedha.
እኔ ሊዮ ነኝ።,Ani Leo dha.
ፖሊስ ነኝ።,Ani poolisiidha.
እኔ ወንድ ነኝ።,Ani dhiira.
በ ህይወት አለሁ።,Ani lubbuun jira.
ተናድጃለሁ።,Ani aareera.
ኣይነ ስውር ነኝ።,Ani jaamaa dha.
ደፋር ነኝ።,Ani jabaadha.
ተበላሽቻለሁ።,Ani cabeera.
እብድ ነኝ።,Ani maraadheera.
ተፈወስኩኝ።,Ani fayyeera.
ቆሽሻለሁ።,Ani xuraa'eera.
ሰክራለሁ።,Machaa'eera.
እየሞትኩ ነው።,Du'aa jira.
ቀድሜ ነኝ።,Dafee dhufeera.
ተበሳጨሁ።,Ani fussy dha.
እያሄድኩ ነው።,Ani deema.
እድለኛ ነኝ።,Carraa qaba.
እየዋሸሁ ነው።,Ani soba.
ችግረኛ ነኝ።,Ani rakkadheera.
ዝም አልኩኝ።,Callisee jira.
እኔ ተዘጋጅቻለሁ!,Qophaa'eera!
እኔ ተዘጋጅቻለሁ።,Qophaa'eera.
ትክክል ነኝ።,Sirriitti dubbadheera.
ጨዋ ነኝ።,Ani sober dha.
ተጣብቄያለሁ።,Ani qabamee jira.
ፈሪ ነኝ።,Ani sodaadheera.
የ አንተ፣ የ አንቺ ነንግ።,Ani kan keeti.
ቶም ደህና ነው?,Toom OK qabaa?
ቶም ገብቷል?,Toom keessa jiraa?
መጥፎ ነው?,Hamaadhaa?
ሩቅ ነው?,Fagoodhaa?
ሞቃት ነው?,Ho'aadhaa?
አንተ ነህ?,Sidhaa?
ተቃጠለ።,Gubate.
አልተሳካም።,Ni fashalaa'e.
ፈሰሰ።,Dhangala'e.
በረዶ ወረደ።,Qorroon ni roobe.
ይሸታል።,Ni urgooftuu.
ደህና ነበር።,OK ture.
ሰራ።,Hojjete.
3፡30 ነው።,Sa'aatii 330 ta'eera.
8፡30 ነው።,Sa'aatii 830 ta'eera.
ቲቪ ነው።,TV dha.
ቀዝቃዛ ነው።,Qorqorroodha.
ጨለማ ነው።,Dukkana ta'eera.
ሞቷል።,Du'eera.
ተፈፀመ።,Raawwateera.
ምግብ ነው።,Nyaata dha.
ነፃ ነው።,Bilisaa dha.
ሞልቷል።,Guutee jira.
ከባድ ነው።,Nama ulfaataadha.
ጠፍቷል።,Badee jira.
የእኔ ነው።,Kan kooti.
ክፍት ነው።,Banaadha.
የኛ ነው።,Kan keenya.
ደህንነቱ የተጠበቀ ነው።,Nageenya qaba.
አሸዋ ነው።,Cirracha dha.
ሰአቱ ደረሰ።,Yeroon isaa amma.
እውነት ነው!,Dhugaadha!
ስራ ነው።,Hojiidha.
ወደ ታች ይዝለሉ።,Gadi utaalaa.
ከዚህ አርቀው።,Fageessaa.
ወደኋላ ቀጥል።,Duubatti deebi'aa.
ረጋ በይ።,Tasgabbaa'aa.
ተረጋጋ።,Qabbanaawaa ta'aa.
አስቀምጣቸው።,Isaan eegaa.
ሙቀትህን ጠብቅ።,Ho'isaa.
ግደላቸው።,Isaan ajjeesaa.
ከቶም ተወው።,Toomii dhiisaa.
ይሁን በቃ።,Haa ta'u.
አስኪ ለሂድ።,Mee naaf dhiisaa.
እንጠይቅ።,Mee haa gaafannu.
እስኪ እናያለን።,Mee haa ilaallu.
ዝም ብለህ ተኛ።,Ciisi.
ራቅ ብለህ ተመልከት።,Gara biraa ilaalaa.
ወደኋላ ተመልከት!,Mee of duuba deebi'aa ilaalaa!
እዚ እዩ።,As ilaalaa.
ተፈታ።,Hiikkaadhu.
ምርጥ አላሚ!,Dhukaasa bareedaa!
እርግጥ ነው!,Eeyyee kaa!
እርግጥ ነው።,Eeyyee kaa.
እባካችሁ!,Yaa maaloo!
ይቅርታ አርግልኝ?,Dhiifama naaf godhaa?
ይህን አንብብ።,Kana dubbisaa.
እዚህ አርፉ።,Asirratti boqodhu.
ሰላም በል።,Akkam nagaa jedhaa.
ከላይ ይመልከቱ።,Armaan olitti ilaalaa.
ከስር ተመልከት።,Armaan gaditti ilaalaa.
ያዙት!,Isa qabadhaa!
ከምር?,Isa dhugumaa?
አለቀሰች።,Isheenis boosse.
ሞከረች።,Isheenis yaalte.
ትሄዳለች።,Isheenis deemti.
ሞቃት ነች።,Isheen ho'aa jirti.
እዚህ ይመዝገቡ።,Asirratti mallatteessi.
ይህንን ይፈርሙ።,Kana mallatteessi.
ዝም ብለህ ተቀመጥ።,Taa'i.
አጥብቀህ ተቀመጥ።,Cimsitee taa'i.
ፍጥነት ቀንሽ!,Suuta jedhii!
ፍጥነት ቀንሽ።,Suuta jedhii.
ራቁ።,Fageenyaa.
ተመልሰው ይቆዩ።,Duubatti deebi'aa.
ቆይ!,Gad bu'aa!
ወደ ታች ይቆዩ።,Gad bu'aa.
እዚሁ ይቆዩ።,As turaa.
ቤት ይቆዩ።,Mana turaa.
ቀጭን ይቆዩ።,Qalla'aa ta'aa.
ይህን አቁም!,Sana dhiisaa!
ያንን አቁም።,Sana dhiisaa.
አቁማቸው።,Isaan dhaabaa.
ተጠንቀቅ!,Of eeggadhu!
ተጠንቀቅ።,Of eeggadhu.
የኔን ውሰዱ።,Kan koo fudhadhaa.
ተቆጣጠር።,Fudhadhu.
አመሰግናለሁ።,Galatoomaa.
ምንም አይደል።,Sun OK dha.
በቃ።,Kana qofa.
እኔ ነኝ።,Sun ana.
ከዛስ?,Sana booda maal?
ወደቁ።,Kufan.
ዋሽተዋል።,Soban.
ዋኙ።,Dabballee.
ጊዜው አልፏል።,Yeroon darbeera.
ቶም ያበስላል።,Toom nyaata bilcheessa.
ቶም አለቀሰ።,Toom jedhee boo'e.
ቶም ጠልቆ ገባ።,Toom bishaan keessa cuuphame.
ቶም ተባረረ።,Toom dhukaase.
ቶም ደህና ነው።,Toom OK dha.
ቶም ሹራብ።,Toom ni hodha.
ቶም ከንፈር።,Toom ni laamsha'a.
ቶም ይሞክራል።,Toom ni yaala.
ቶም ድምፅ ሰጥቷል።,Toom sagalee kenne.
ቶም እያወዛወዘ።,Toom harka isaa harka isaa rukute.
የቶም ስብ።,Toomii furdaa.
የቶም አብዷል።,Toomii maraateera.
ቶም አዝኗል።,Toom gaddisiisaa jira.
እንደገና ሞክር።,Ammas yaalaa.
ለካው።,Irratti yaalaa.
ወደ ግራ ታጠፍ።,Gara bitaatti garagali.
እዚህ ይጠብቁ።,Asirratti eegaa.
መሄጃ መንገድ!,Karaa itti deemnu!
አደረግነው!,Hojjenne!
ፈገግ አልን።,Nutis kolfinee.
ተራመድን።,Miillaan deemne.
እናሸንፋለን።,Ni injifanna.
ሞቀናል።,Nuti ho'aa jirra.
ጥሩ ስራ።,Gaarii goote.
እንደአት ነው?,Akkam jirta?
ማን ምንአገባው?,Eenyutu dhimma qaba?
እሱ ማን ነው?,Inni eenyu?
ማን ነው?,Eenyu?
ማነው የተናገረው?,Eenyutu dubbate?
ማን ይሄዳል?,Eenyuutu deema?
ማን ነው የታመመ?,Eenyutu dhukkubsate?
ቶም ይፃፉ።,Toomii barreessi.
ትነዳለህ።,Ati konkolaachifta.
አንተ ደደብ!,Yaa gowwaa!
ጀምር።,Ati jalqabda.
ትገማለህ።,Ati urgooftuu.
ሞክረሃል።,Yaalteetta.
ደህና ነህ።,Ati OK jirta.
አንተ ነህ!,Atidha!
ከፍ ያለ ኣላማ ያድርጉ።,Kaayyoo ol ka'aa.
ሁሉም ተሳፍረዋል!,Hundi isaanii doonii irra turan!
እየሞትኩ ነው?,Du'aa jiraa?
ተባረርኩ?,Hojiirraa ari'amaa?
መጀመሪያ ነኝ?,Ani dursaa?
ተቀጥሬያለሁ?,Ani qacaramee jiraa?
ተሳስቻለሁ?,Dogoggoraa?
ለቶም መልሱ።,Deebii Toomii.
ሰላም ነው?,Nagaa jirtaa?
ተነስተዋል?,Ol kaatee jirtaa?
ማንንም ይጠይቁ።,Nama kamiyyuu gaafadhu.
ዙሪያውን ይጠይቁ።,Naannoo kee gaafadhu.
ይብቃህ።,Quufaa.
በሰኣቱ ይሁኑ።,Yeroo isaa eeggadhu.
ታገስ።,Obsaa.
አስተዋይ ሁን።,Of eeggannoo qabaadhu.
በቁም ነገር ሁን።,Cimaa ta'i.
ወፎች ይዘምራሉ።,Simbirroonni ni sirbu.
ከታች ወደላይ!,Jalqaba ol!
ወደ ውስጥ መተንፈስ።,Hafuura baafadhu.
ምግብ አምጡ።,Nyaata fidaa.
እርዳታ አምጣ።,Gargaarsa fidaa.
መምጣት እችላለሁ?,Dhufuu danda'aa?
ልረዳው እችላለሁ?,Gargaaruu nan danda'aa?
መዘመር እችላለሁ?,Sirbuu nan danda'aa?
መቆየት እችላለሁ?,Turuu nan danda'aa?
ይህን ያዙ።,Kana baadhadhaa.
ይህንን ይያዙ።,Kana qabadhaa.
ያንን ያረጋግጡ።,Sana ilaalaa.
ይህንን ያረጋግጡ።,Kana ilaalaa.
አንዱን ይምረጡ።,Tokko filadhu.
እንደገና ና።,Ammas koottaa.
ብቻህን ና።,Kottaa kophaa koo kottu.
ይምጡ።,Kottaa waliin.
ቀደም ብለው ይምጡ።,Daftee kottaa.
ግባ!,Kottaa koottaa!
ግባ።,Kottaa koottaa.
ቶሎ ና!,Dafii koottaa!
ወደ እኔ ኑ ።,Gara koo koottaa.
ወደ እኛ ይምጡ።,Gara keenya koottaa.
ቆርጠህ አወጣ!,Itti muraa!
ቆርጠህ አወጣ።,Itti muraa.
አጥፋው።,Balleessaa.
አሸንፈናል?,Injifnee moo?
በፍጥነት መቆፈር።,Saffisaan qotaa.
አኩርፋለሁ?,Nan qufa'aa?
ይሸታል?,Na urgooftuu?
ወንዶች ያለቅሳሉ?,Dhiironni ni boo'aa?
አትበሳጭ።,Hin dhiphatin.
አትዝለል!,Hin utaalin!
አትመልከት።,Hin ilaalinaa.
አትንቀሳቀስ!,Hin socho'inaa!
አትንቀሳቀስ።,Hin socho'inaa.
አትግፋ።,Hin dhiibin.
አታቋርጥ።,Hin dhiisinaa.
አትዝፈን።,Hin sirbiin.
አትናገር!,Hin dubbatin!
አትናገር።,Hin dubbatin.
አትጠብቅ።,Hin eeginaa.
የግዴታ ጥሪዎች።,Bilbila dirqamaa.
የፊት እውነታዎች!,Dhugaa jiru fuula duratti!
ይሙሉት።,Guutuu.
ስራ ይፈልጉ።,Hojii barbaadi.
ቶም ይከተሉ።,Tom hordofaa.
ተከተሉት።,Isa hordofaa.
ቶምን እርሳ።,Toom dagadhu.
እርሳው።,Isa dagadhu.
ይቅር በለንኝ ይቅር በይኝ።,Dhiifama naaf godhaa.
ህይወት ያግኙ!,Jireenya argadhu!
ተንቀሳቀስ።,Socho'aa.
ወደ አልጋው ይሂዱ።,Siree irra cii.
ተውት።,Dhiisii.
ወደ ውጭ ውጣ።,Ala ba'aa.
ቶምን ለማየት ይሂዱ።,Deemi Toom ilaali.
ይሞቁ።,Deemi ho'i.
ይኑርዎት።,Have at it.
ሰጠ።,Innis harka kennate.
ስራ በዝቶበታል።,Hojiin itti baay'atee jira.
እሱ እዚህ አለ!,Inni kunoo jira!
አርፍዷል።,Harkifateera.
እሱ ድሃ ነው።,Inni hiyyeessa.
ታሟል።,Inni dhukkubsatee jira.
አደረገው።,Innis tolche.
እሱ ስዊዘርላንድ ነው።,Inni lammii Siwiizarlaandiiti.
ተበላሽቷል።,Inni cabee jira.
ብልህ ነው።,Inni qaroodha.
ወደ ሰሜን ይሂዱ።,Gara kaabaatti qajeela.
