Amharic	English	Afan Oromo
መኪናየ የት አለ?	Where is the car?	Konkolaataan koo eessa jira?
ምንም ነገር አይንኩ።	Don't touch anything.	Waan tokkollee hin tuqinaa.
ዘመናዊ መርከቦች አነስተኛ ሰራተኞች ብቻ ያስፈልጋቸዋል።	Modern ships require only a small crew.	Doonii ammayyaa hojjettoota xiqqaa qofa barbaachisa.
ስራውን ቀላል ያደርጉታል።	They make the job easier.	Hojicha salphisaa.
በፍጥነት ያሽከረክራል።	He drives fast.	Saffisaan konkolaachisa.
እኔ አስተማሪ አይደለሁም።	I am not a teacher.	Ani barsiisaa miti.
ድመቷ ምንጣፉ ላይ ተቀመጠች።	The cat sat on the carpet.	Adurreen matta'aa irra teessee.
ከእኔ ጋር የሚበላ ነገር መያዝ የሚፈልግ አለ።	Someone wants to have something to eat with me.	Namni waan nyaatamu ana waliin qabachuu barbaadu jiraa.
እሷን ማስደሰት ከብዶኝ ነበር።	I found it difficult to please her.	Ishee gammachiisuun natti ulfaate ture.
ጋዙን ማጥፋት ረሳሁ።	I forgot to turn off the gas.	Gaazii dhaamsuu dagadheera.
መታወቂያው የውሸት ነበር።	The ID was fake.	Waraqaan eenyummessaa sun sobaa ture.
ማክበር ያለብን ይመስለኛል።	I think we should celebrate.	Ayyaaneffachuu qabna jedheen yaada.
ዛሬ ጠዋት በጣም ፀጥታችኋል።	You are very quiet this morning.	Ganama kana baay'ee callistee jirta.
ከልጁ ጋር ካይት በረረ።	He flew a kite with his son.	Ilma isaa waliin simbirrotti balaliise.
ትልቅ ለውጥ ያመጣል።	It makes a big difference.	Jijjiirama guddaa fidaa.
የዱላውን አጭር ጫፍ አግኝተዋል።	They got the short end of the stick.	Fiixee gabaabaa ulee sanaa argatan.
የክፍል ጓደኛየ ነች።	She is a classmate.	Isheen hiriyyaa daree kooti.
በፍጥነት መሮጥ የሚችል ውሻ አለኝ።	I have a dog that can run fast.	Saree saffisaan fiiguu danda'u qabna.
ለቶም እውነቱን እነግራለሁ።	I'll tell Tom the truth.	Dhugaa jiru Toomitti nan hima.
እባካችሁ ይህንን ሚስጥር ጠብቁት።	Please keep this a secret.	maaloo iccitii kana eega.
ማን እንደሰራ አላውቅም።	I don't know who did it.	Eenyu akka hojjete hin beeku.
"መቸ ነው የምትነሳው? ""በስምንት እነሳለሁ።""።"	"When do you get up ""I get up at eight.""."	"Yoom kaata? ""Sa'aatii saddeetitti ka'a.""."
ትክክል አይመስለኝም።	I don't think it's right.	Sirrii natti hin fakkaatuu.
መፅሄት ገዛሁት።	I bought him a magazine.	Barruulee tokko isaafan bite.
ዝናቡ ለሶስት ቀናት ቆየ።	It rained for three days.	Roobni kun guyyaa sadii tureera.
እጁን ጠቀለለብኝ።	He wrapped his arms around me.	Harka isaa natti marate.
ቶም ተከተለ።	Tom followed.	Toom isa hordofe.
መፀዳጃ ቤቶች የት አሉ?	Where are the toilets?	Manneen fincaanii eessa jiru?
በምትኖርበት አካባቢ ህይወት ምን ይመስላል?	What is life like in the area where you live?	Jireenyi bakka ati jiraattu maal fakkaata?
እማማ ውሻውን እያጠበችው ስለቆሸሸ ነው።	Mom is washing the dog because it is dirty.	Harmeen sareen waan xuraa'eef dhiqaa jirti.
ያደረግነው ሙከራ ሁሉ ከሽፏል።	All our attempts have failed.	Yaaliin keenya hundi fashalaa'e.
ያ መኪና በጣም ፈጣን ነው።	That car is very fast.	Konkolaataan sun baayyee saffisaa dha.
እግዚአብሄር እኛን ራቁታችንን እንድንሆን አስቦ ቢሆን ኖሮ በዚያ መንገድ እንወለድ ነበር።	If God had intended for us to be aloof, we would have been born that way.	Waaqayyo osoo akka nu irraa fagaannu yaadee silaa akkasitti dhalanne turre.
መቀባት አልወድም።	I don't like painting.	Dibu hin jaalladhu.
ለመፅሄት እጁን ዘረጋ።	He reached for a magazine.	Barruulee tokkoof harka isaa diriirsee.
ቶምን የማታምን አንተ ብቻ አይደለህም።	You're not the only one who doesn't believe Tom.	Toom kan hin amanne si qofa miti.
ለማግኘት ቀላል አይደሉም።	They are not easy to find.	Isaan argachuun salphaa miti.
እሱ ተራ ወሮበላ ከመሆን የዘለለ አይደለም።	He is nothing more than a thug.	Inni nama gowwaa waliigalaa irra kan darbe homaa miti.
አንዳንድ ሙዚቃን አስቀምጡ።	Put on some music.	Muuziqaa tokko tokko kaa'aan.
የምሄድበት ጊዜ አሁን ይመስለኛል።	I think it's time for me to go.	Yeroon ani itti deemu ga'eera jedheen yaada.
ወፍራም አይደለህም።	You are not fat.	Ati furdaa miti.
ከአስራ ሶስት አመቴ ጀምሮ እሰራለሁ።	I have been working since I was thirteen.	Umurii koo waggaa kudha sadii irraa kaasee hojjechaa ture.
እንዳገኘችው ካደች።	She denied finding him.	Isheenis isa waliin wal arguu ishee haalteetti.
ወደዚህ ዛፍ ጫፍ መውጣት የምትችል ይመስልሃል?	Do you think you can climb to the top of this tree?	Gara gubbaa muka kanaatti ol bahuu dandeessa jettee yaaddaa?
ቃላትወን በደንብ ይመዝኑ።	Weigh your words well.	Jechoota kee akka gaariitti madaali.
ተረጋጋ፣ እና የተቻለህን አድርግ።	Keep calm, and do your best.	Tasgabbaa'i, waan dandeessu godhi.
በዚህ ክፍል ውስጥ ጣሪያው በጣም ዝቅተኛ ነው።	The ceiling in this room is very low.	Kutaa kun keenyan isaa baay'ee gadi aanadha.
በእውነት ወደ ስራ መመለስ አለብኝ።	I really need to get back to work.	Dhuguma hojiitti deebi'uun qaba.
ኮሜት እና አስትሮይድ አታምታታ።	Don't confuse comets and asteroids.	Koomeetii fi asteroyidii hin burjaajessinaa.
ለአንድ ሳምንት ሙሉ እሄዳለሁ።	I will be gone for a whole week.	Torban guutuuf nan deema.
ለእኔ ከቤተሰቤ የበለጠ አስፈላጊ ነገር የለም።	Nothing is more important to me than my family.	Maatii koo caalaa wanti naaf barbaachisaa ta'e hin jiru.
በየቀኑ ገላየን እጠባለሁ።	I shower every day.	Guyyaa guyyaan dhiqadha.
የምትሄድ መስሎኝ ነበር።	I thought you were leaving.	Ni deemta jedheen ture.
በኩባንያው ስም እንኳን ደህና መጣችሁ።	Welcome on behalf of the company.	Maqaa dhaabbatichaatiin baga nagaan dhuftan.
ትናንት ግቢ ውስጥ አገኘኋት።	I met her in the yard yesterday.	Kaleessa mooraa keessatti ishee waliin wal barre.
አደርግሃለሁ።	I will do you.	Nan godha.
የእረፍት ጊዜው ወደ ማብቂያው ተቃርቧል።	The vacation is almost over.	Boqonnaan xumuramuutti dhihaateera.
ለትንሽ ግላዊነት አዘጋጅቻለሁ።	I prepared for a little privacy.	Xiqqoo iccitii akka ta'u qopheesseen jira.
በማለዳው የቤተክርስቲያን አገልግሎት መገኘት አልቻለችም።	She was unable to attend the morning church service.	Tajaajila waldaa ganama irratti hirmaachuu hin dandeenye.
አስደሳች በረራ እንመኝልወታለን።	We wish you a pleasant flight.	Balalii gammachiisaa isiniif hawwina.
እባካችሁ ዘምሩ።	Please sing.	Maaloo faarfadhaa.
በጣም ግራ የተጋባ ስሜት ተሰማኝ።	I felt very confused.	Baayyee burjaaja'ee natti dhaga'ame.
ብዙ ጊዜ ሌሊቱን ሙሉ እተኛለሁ።	I usually sleep through the night.	Yeroo baayʼee halkan guutuu hirribaa nan rafa.
አርክቴክቱ የቤቱን ንድፍ አውጥቷል።	The architect designed the house.	Arkiteektichi pilaanii mana kanaa kaase.
በባቡር ውስጥ በየቀኑ የማየው ይህ ሰው ነው።	This is the guy I see every day on the train.	Baabura keessatti namni ani yeroo hundaa argaa ture nama kana.
ለእሱ መሮጥ አለብን።	We have to run for it.	Isaaf fiiguu qabnaa.
ተነስቶ በውይይቱ መሃል ወጣ።	He got up and left in the middle of the conversation.	Ka'ee marii gidduuti ba'e.
ቶም እነዚህን እንዳይጠቀም ነገርኩት።	I told Tom not to use these.	Toomiin kanneen akka hin fayyadamne itti hime.
እንግዳወችን አምኘ አላውቅም።	I have never trusted strangers.	Nama hin beekne amanee hin beeku.
ለዚህ ነው የዘገየሁት።	That's why I'm late.	Kanaafi kanan harkifadhu.
ወንበሩ ላይ አሰረችው።	She tied him to the chair.	Teessoo irratti hiite.
ምን ማድረግ እንዳለብኝ ሳላውቅ ምንም አላደረግኩም።	I didn't know what to do.	Waan godhu wallaalee homaa hin goone.
ጥሩ ነጥብ ነው።	That's a good point.	Qabxii gaarii dha.
ጀርባየ ላይ ተኝቸ ነበር።	He was lying on his back.	Dugda kootiin ciisee ture.
በጣም ቅርብ ነበር።	It was very close.	Dhuguma dhihoo ture.
በእውነት እንደ ቢራ ይሰማኛል።	ERROR: The read operation timed out.	Dhuguma akka biiraa natti dhagahama.
ለምን እንደማትወዱኝ አላውቅም።	I don't know why you don't like me.	Maaliif akka na hin jaalanne hin beeku.
አንተን ማግኘቴ በጣም ደስ ይላል።	Nice to meet you.	Siin wal arguun nama gammachiisa.
እንደት ፈረሶችን አትወድም።	You don't like horses.	Akkamitti fardeen hin jaallattu.
ቶም ምናልባት በህንፃው ውስጥ ነው።	Tom is probably in the building.	Toom gamoo sana keessa jiraachuu hin oolu.
አደጋው ከከባድ በረዶው ጋር የሚያገናኘው ነገር ይመስላል።	The crash seems to have something to do with the heavy snow.	Balaan kun qorra cimaa wajjin waan wal qabatu fakkaata ture.
የመመዝገቢያ ትምህርትወ በሆሄያት ስህተቶች የተሞላ ነው።	The registry is full of spelling mistakes.	Galmeen barnoota dogoggora qubeetiin guutameera.
አሁን ሰው ነህ።	You are human now.	Ati amma namaa.
ፍየልን እንደት ማጥባትን ያስተማረኝ ቶም ነበር።	It was Tom who taught me how to milk a goat.	Akkatti re'ee elman kan barsiise Toomi dha.
ሰነፍ ሆኛለሁ ብየ እገምታለሁ።	I guess I've been lazy.	Dhibaa'a ta'eera jedheen tilmaama.
እሷም ለእሷ ትኩረት አልሰጠም በማለት ከሰሰችው።	She accused him of not paying attention to her.	Xiyyeeffannoo isheef hin kennine jechuun himatamte.
ቶም ፈረንሳይኛ አቀላጥፎ ያውቃል።	Tom is fluent in French.	Toom afaan Faransaayii sirriitti beeka.
ኮኮዋ በጣም መራራ ሊሆን ይችላል።	Cocoa can be very bitter.	Kookaa baayyee hadhaa'aa ta'uu danda'a.
ይህ ልብ ወለድ ለመረዳት አስቸጋሪ ነው።	This novel is difficult to understand.	Asoosamni kun hubachuun rakkisaadha.
ያ የኔ አይደለም።	That's not mine.	Sun kan koo miti.
ሁልጊዜ አውቶቡሱን ወደ ቦስተን መመለስ እችላለሁ፣ አይደል?	I can always take the bus back to Boston, right?	Yeroo hunda Atobisii fudhadhee gara Boostonitti deebi'uu nan danda'a mitiiree?
ልይዘው እችላለሁ።	I can handle it.	Ani danda'a.
ጊዜህን ውሰድ። ችኮላ የለም።	take your time.There is no rush.	Yeroo kee fudhadhu. Ariitiin hin jiru.
በተጨናነቁ ባቡሮች ላይ ኪስ ኪስ ያዙ።	Pick pockets on crowded trains.	Baabura namaan guutame irratti boorsaa keessan qabadha.
የምንኖረው በቦስተን ነው።	We live in Boston.	Booston keessa jiraanna.
በሚቀጥለው ሳምንት ወደ ለንደን የንግድ ጉዞ ታደርጋለች።	She will be on a business trip to London next week.	Torban dhufu imala daldalaaf gara Landanitti ni taasifti.
ጌታ ሆይ! በእንደዚህ አይነት ሁኔታ ውስጥ አገኛለሁ ብየ የጠበኩት የመጨረሻ ሰው ነወት።	Lord, you are the last person I expected to meet in such a situation.	Inni nama isa dhumaa haala akkanaa keessatti wal argu jedhee eegedha.
በእርግጥ ይህ አስፈላጊ የሚሆን አይመስለኝም።	I really don't think this will matter.	Dhuguma sun barbaachisaa natti hin fakkaatu.
እኔ በግሌ አልወስደውም።	I don't take it personally.	Ani akka dhuunfaatti hin fudhadhu.
ይህ እንደማይሆን እርግጠኛ ነኝ።	I'm sure that won't happen.	Sun akka hin taane mirkanaa'aa dha.
ያንን ፊልም ወድጀዋለሁ።	I love that movie.	Fiilmii sana baay'een jaalladheera.
ይህ ደግሞ ሌላ ጉዳይ ነው።	This is another matter.	Sun dhimma biraati.
መምጣት አለብህ።	You must come.	Dhufuu qabda.
በወረቀቱ ላይ ሁለት ግድ የለሽ ስህተቶች ነበሩ።	There were two careless mistakes in the paper.	Waraqaa isaa irratti dogoggorri of eeggannoo malee hojjetame lama ture.
እዚህ አጠገብ ዳቦ መጋገሪያ አለ።	There is a bakery near here.	Asitti dhihoo bakki daabboo tolchan jiraa.
ጤናማ ልጅ ወለደች።	She gave birth to a healthy baby.	Daa'ima fayyaa qabu deesse.
የጉዞህ አላማ ምንድን ነው?	What is the purpose of your trip?	Kaayyoon imala keessanii maali?
መንገዱ በጣም ጠባብ ነው።	The road is very narrow.	Daandiin baayyee dhiphoodha.
ውሻህን በጥሩ ሁኔታ እንደምጠብቅ ቃል እገባለሁ።	I promise to take good care of your dog.	Saree kee akka gaariitti akkan kunuunsu waadaa siif gala.
አብረን ፈረንሳይኛ ተምረናል።	We learned French together.	Afaan Faransaayii waliin baranne.
ሁልጊዜ ህክምናን አለመቀበል መብት አለህ፣።	You always have the right to refuse treatment;.	Yeroo hunda wal'aansa diduu mirga qabda,.
ሆኖም፣ ያ ምርጫህ ከሆነ ሊያስከትል የሚችለውን ውጤት ማስረዳት አለብኝ።	However, I must explain the consequences if that is your choice.	Haa ta'u malee, filannoo kee yoo ta'eyyuu bu'aa inni fiduu danda'u ragaan qaba.
እኛ የምናደርገውን ነገር ብዙ ሰወች አልወደዱትም።	A lot of people didn't like what we were doing.	Namoonni baay'een waan nuti hojjennu hin jaalanne.
ለምን እኔን ለመሳም ረጅም ጊዜ ጠበክ?	Why did you wait so long to kiss me?	Maaliif na dhungachuuf yeroo dheeraa eegde?
ብቻየን መሆን እፈልጋለሁ።	I want to be alone.	Kophaa ta'uu nan barbaada.
ሌላ ምንም የምለው የለኝም።	I have nothing else to say.	Waan biraa waanan jedhuu hin qabu.
ጓደኞቸ ስለ ሞኝ ባህሪየ ነቀፉኝ።	Friends scolded me for my stupid behavior.	Hiriyoonni koo amala gowwummaa kootiif na arrabsan.
በሶስት እወስድሃለሁ።	I'll take you in three.	Sa'aatii sadiitti si fudhadha.
ይህን እንደት ማድረግ እንዳለብወት ያውቃሉ።	You know how to do it.	Kana akkamitti akka gootu beektaa.
ይህ እንደት እንደሚሰራ አውቃለሁ።   I know how this works.	Kun akkamitti akka hojjetu nan beeka.
በጠረጴዛው ላይ ነጠብጣብ አለ።	There is a stain on the table.	Minjaala irratti xuriitu jira.
ህገወጥ አይደሉም።	They are not illegal.	Isaan seeraan alaa miti.
ታሪክን ለማሳጠር ከስራ ተባረረ።	Long story short, he was fired.	Seenaa dheeraa gabaabsuuf hojii irraa ari'ame.
ስህተት የሰራነው እኛ ብቻ አይደለንም።	We are not the only ones who have made mistakes.	Kan dogongore nu qofa miti.
በድንገት ዞር ብላለች።	She suddenly turned around.	Akka tasaa garagalte.
ወደ ነርሷ እንድትሄድ እፈልጋለሁ።	I want you to go to the nurse.	Gara narsii akka deemtu nan barbaada.
ይህ እንዳለህ ማን ያውቃል።	Who knows that you have this.	Kana akka qabdu eenyutu beeka.
እሱን መታገስ አልችልም።	I can't stand him.	Isa obsuu hin danda'u.
በልጅነቱ ከስኮትላንድ ወደ አሜሪካ መጣ።	He came to America from Scotland as a child.	Mucummaa isaatti Iskootilaandii irraa gara Ameerikaa dhufe.
ቃል ገባሁ።	I promised.	Waadaa galeera.
የምር አዝኛለሁ፣ ግን መሃረብሽን ያለቦታው ያደረግኩት ይመስላል።	I'm really sorry, but it looks like I misplaced your scarf.	Dhuguma gaddeera, garuu scaarfii kee waanan bakka maleen kaa'e natti fakkata.
ይህ እንዳይከሰት እንደት መከላከል እችላለሁ።	I can prevent this from happening.	Akkamittan kun akka hin mudanne ittisuu danda'a.
ቶም ሊጠይቃቸው የሚፈልጋቸው ጥያቄወች ነበሩት።	Tom had questions he wanted to ask.	Toom gaaffiin gaafachuu barbaadu qaban ture.
በዝግታ እንድናገር ነገረኝ።	He told me to speak slowly.	Suuta jedhee akkan dubbadhu natti hime.
ፍች እፈልጋለሁ።	I want an explanation.	Wal hiikuu barbaadu.
እርስወ ሊተኩ የሚችሉ አይደሉም።	They are not replaceable.	Isaan bakka buufamuu hin danda'an.
ይህ ወረቀት ነጭ ነው።	This paper is white.	Waraqaan kun adii dha.
በአንድ ኮንፈረንስ ላይ ወረቀት አቀርባለሁ።	I will present a paper at a conference.	Konfiraansii tokko irratti waraqaa tokkon dhiheessa.
ዝም ብየ እጠብቃለሁ።	I just wait.	Calliseen eega.
ከቡድኑ ጋር አስተዋውቃችኋለሁ።	I will introduce you to the group.	Garee kanaan isin beeksisa.
እስካሁን ምንም አላየህም።	You haven't seen anything yet.	Ammatti homaa hin argine.
ህይወት እንደቀድሞው እንድትሆን እመኛለሁ።	I wish life could be the way it used to be.	Jireenyi akka kanaan dura ture akka ta'u nan barbaada.
ነገ ከሰአት በኋላ ሊመጣ ይችላል።	He may come tomorrow afternoon.	Boru waaree booda dhufuu mala.
ቶም ገና ገና ከመድረሱ ጥቂት ቀናት በፊት አውስትራሊያን ለቅቋል።	Tom left Australia a few days before Christmas.	Toom Ayyaana Qillee guyyoota muraasa dura Awustiraaliyaa gadhiise.
ሙሉ በሙሉ እንደሚድኑ ተስፋ አደርጋለሁ።	I hope you will recover completely.	Guutummaatti akka fayyitan abdiin qaba.
በፓርቲው ላይ ማንም ፈረንሳይኛ አይናገርም።	No one speaks French at the party.	Dhaaba kana irratti namni afaan Faransaayii dubbatu hin turre.
ቶም ባለፈው ሳምንት ገባ።	Tom came in last week.	Toom torban darbe gara manaatti gale.
ቶም ከማርያም ጋር ተለያዩ።	Tom broke up with Mary.	Toom Maariyam wajjin addaan baʼe.
ቴምብሮችን ከየት አገኛለሁ?	Where do I get the stamps?	Chaappaa eessaa argadha?
መኪናውን በ12,000 ዶላር ገዛን።	We bought the car for $12,000.	Konkolaataa kana doolaara 12,000 n bitanne.
የዚህ ኩባንያ የትርፍ ህዳግ በጣም ትልቅ ነው።	The profit margin of this company is huge.	Bu'aan dhaabbata kanaa baayyee guddaadha.
እንደዚህ ማብሰል እንደምትችል አላውቅም ነበር።	I didn't know you could cook like that.	Akkasitti nyaata bilcheessuu akka dandeessu hin beeku ture.
የኪዊፍሩትን ቆዳ መብላት ይቻላል።	The skin of kiwifruit can be eaten.	Gogaa Kiwii firii nyaachuu dandeessaa.
ያ ልጅ አንተን ይመስላል።	That boy looks like you.	Mucaan sun si fakkaata.
የትኛው ጃንጥላ ነው ያንተ?	Which umbrella is yours?	Dibaabee kamtu kan keeti?
ተመልካቾችህን በፍፁም አቅልለህ አትመልከት።	Never underestimate your audience.	Dhaggeeffattoota kee gonkumaa xiqqeessuu hin qabdu.
የሆነ ነገር እንደሰማሁ አውቃለሁ።	I knew I heard something.	Waan tokko akkan dhaga'e nan beeka.
አሁንም ወደ ቦስተን የመመለስ እቅድ አለህ።	You still have plans to return to Boston.	Ammallee gara Boostonitti deebi'uuf karoora qabdaa.
ከእኔ በፊት እንደት እዚህ ደረስክ።	You got here before me.	Akkamitti na dura as geesse.
እያወሩ ነው።	They are talking.	Isaan haasa'aa jiru.
ከነዚህ ነገሮች አንዱ ነበር።	It was one of those things.	Wantoota sana keessaa tokko ture.
ዛሬ ጠዋት አርፍደሃል።	You are late this morning.	Ganama kana harkifattee jirta.
ካንሰር ነው።	It is cancer.	Kaansariidhaa.
ሃይቁ ከዚህ በጣም ሩቅ ነው።	The lake is far from here.	Haroon kun as irraa fagoodha.
ጨውን አሳልፈኝ።	Pass me the salt.	Soogidda naaf dabarsi.
ዶክተር ብለው ጠሩኝ።	They called me doctor.	Doktara jedhanii na waaman.
ፊልሙ ከጠበቅኩት በላይ ነበር።	The movie exceeded my expectations.	Fiilmiin sun waanan eege caalaa gaarii ture.
ብዙውን ጊዜ በአራት ሰአት ወደ ቤት እሄዳለሁ።	I usually go home at four o'clock.	Yeroo baayyee sa'aatii afuriitti gara manaatti nan deebi'a.
እንደ ትንሽ ልጅ ነው የምትሰራው።	You act like a little girl.	Akka daa'ima xiqqaatti hojjechaa jirta.
በረጅሙ ነጭ ፀጉርህ ከሩቅ አገኝሃለሁ።	I can see you from afar with your long white hair.	Rifeensa kee dheeraa adii ta'een fagoodhaa si arguu nan danda'a.
የሆነ ነገር ጥሩ ይሸታል።	Something smells good.	Wanti ta'e tokko foolii gaarii qaba.
ምን ማድረግ እንዳለብኝ ለማወቅ በጠዋት አሳለፍኩ።	I spent the morning figuring out what to do.	maal akkan godhu adda baasudhafan ganamaan dabarse.
ቶም ዛሬ ከሰአት በኋላ ወደ ዋና ሊሄድ ነው።	Tom is going swimming this afternoon.	Toom har'a waaree booda bishaan daakaa deemuuf jira.
በካርዶች ጨዋታ ላይ ላስደስትህ እችላለሁ።	I can entertain you in a card game.	Taphni kaardii si hawwachuu danda'aa.
አርጅቸ ሊሆን ይችላል ግን አላበድኩም።	I may be old, but I'm not crazy.	Dulloomuu danda'a, garuu hin maraadhu.
እሱ እዚህ አለ።	He is here.	Inni as jira.
በዚህ ጉዳይ ላይ መግባባት ላይ መድረስ እንችላለን።	We can reach an agreement on this issue.	Dhimma kana irratti waliigalteerra gahuu dandeenyaa.
አውሮፕላኑ በግርፋት አረፈ።	The plane landed with a thud.	Xiyyaarri kun sagalee guddaadhaan bu'e.
የኛ ጉዳይ አይደለም።	It's none of our business.	Dhimma keenya miti.
ቶም ከማርያም ጋር መስራት ይፈልጋል።	Tom wants to work with Mary.	Toom Maariyaam wajjin hojjechuu barbaada.
የጨረቃ ባለቤት ማንም የለም።	No one owns the moon.	Namni ji'a abbummaasa qabu hin jiru.
ሌላ ነገር ላገኝህ እችላለሁ።	I can find you something else.	Waan biraa siif arguu danda'aa.
በጣም ደክሞኛል።	I am so tired.	Baay'een dadhabe.
በከተማችን ውስጥ ቤተ መፃህፍት አለ።	There is a library in our town.	Magaalaa keenya keessa manni kitaabaa jira.
የፈለጋቸው እነዚያ ናቸው።	Those are what you want.	Isaan sun warra ati barbaaddee.
ንደቷን አጥታ ጮሀችኝ።	She lost her temper and shouted at me.	Aarii dhabdee natti iyyite.
ከእኔ ጋር አትመጣም።	You will not come with me.	Na waliin hin dhuftuu.
በእውነቱ እንደዚህ ያለ ነገር አደርጋለሁ ብለው ያስባሉ።	You really think I would do something like that.	Dhuguma waan akkasii nan hojjedha jettee yaaddaa.
እያንዳንዱ ተማሪ መቆለፊያ አለው።	Each student has a locker.	Tokkoon tokkoon barattootaa Furtuun cufuu qabu.
በስም አውቃታለሁ።	I know her by name.	Maqaa isheen beeka.
አለቃህ ነኝ።	I'm your boss.	Ani hogganaa kee ti.
ወድያው ወደደችው።	She loved him immediately.	Achumaan isa jaallatte.
ልጀ ጋዜጠኛ ነው።	My son is a journalist.	Ilmi koo gaazexeessaadha.
ቶም እና ሜሪ ያ እውነት እንዳልሆነ ሁለቱም ያውቃሉ።	Tom and Mary both know that's not true.	Toomii fi Maariyam lamaan isaanii iyyuu sun dhugaa akka hin taane beeku.
በእርግጠኝነት ተደሰትን አይደል?	We certainly enjoyed it, didn't we?	Nuti dhuguma bashannanne mitii?
ትናንት, አንድ ፖም በላሁ።	Yesterday, I ate an apple.	Kaleessa, Appilii tokkon nyaadhe.
በስብሰባው ላይ አልነበረም።	He was not at the meeting.	Walgahicha irratti hin argamne.
ሁሉም ነገር በጥሩ ሁኔታ ተከናውኗል።	Everything is done well.	Wanti hundinuu akka gaariitti ta'e.
ይህ ሁሉ የሚሆነው እዚህ ነው።	This is where it all happens.	Bakki kun hundinuu ta'a.
በቅርቡ ክብደቴን አጣሁ።	I recently lost weight.	Dhiheenya kana ulfaatina qaamaa hir'iseen jira.
ቶም ብዙውን ጊዜ ፊልም ሲመለከት ፖፕኮርን ይበላል።	Tom often eats popcorn while watching a movie.	Toom yeroo baayyee yeroo fiilmii ilaalu faandishaa nyaata.
በቋሚ ፍርሃት ይኖራሉ።	They live in constant fear.	Sodaa yeroo hunda keessa jiraatu.
ራሴን ብሆንም ሳቅሁ።	I laughed in spite of myself.	Ofii koo utuu ta'ees jedheen kolfe.
ብዙ መስራት አለብን።	We have a lot to do.	Waan baay'ee hojjechuu qabna.
