Amharic,English,Oromo,duplication_group,pair_type,language_pair
ማረፊያ እፈልጋለሁ።,Boqonnaa barbaachisa.,I need accommodation.,0,trilingual,en_am_or
ወድያውኑ ውጤቱን እንደማትጠብቁ ተስፋ አደርጋለሁ።,Bu'aa hatattamaa akka hin eegne abdiin qaba.,I hope you don't expect immediate results.,0,trilingual,en_am_or
ትምህርት ቤት በእግር ነው የምትሄደው።,Mana barumsaa miilan deemtaa.,She walks to school.,0,trilingual,en_am_or
መፅሃፍ እፈልጋለሁ።,Kitaaban barbaada.,I want a book.,0,trilingual,en_am_or
የድሮ መኪናህን መግዛት አልፈልግም።,Konkolaataa kee isa durii bitachuu hin barbaadu.,I don't want to buy your old car.,0,trilingual,en_am_or
እኛ አትክልተኞች ነን።,Nuti warra biqiltuu dhaabaniidha.,We are gardeners.,0,trilingual,en_am_or
የሚሉትን አውቃለሁ።,Waanan jedhu nan beeka.,I know what they say.,0,trilingual,en_am_or
ተረፍን።,Nuti lubbuun hafnerra.,We survived.,0,trilingual,en_am_or
የምር ልስምሽ አስበሽ ነበር።,Dhuguma si dhungachuu barbaadee.,I really wanted to kiss you.,0,trilingual,en_am_or
ውሃውን ወደ ድስት አምጡ።,Bishaan sana gara distiitti fidaa.,Bring the water to a boil.,0,trilingual,en_am_or
ህይወት እንደዚያው ለእሱ ምንም ፍላጎት የለውም።,Jireenyi akkuma jirutti baay'ee isa hin hawwatu.,Life as it is has no interest for him.,0,trilingual,en_am_or
ውሻወ ለምን ሙዝ አይለብስም?,Sareen kee maaliif muuzii hin uffattu?,Why doesn't your dog wear a banana?,0,trilingual,en_am_or
ይህን ደደብ እቅድ እንድትተው እፈልጋለሁ።,Karoora gowwummaa kana akka dhiiftan barbaada.,I want you to drop this stupid plan.,0,trilingual,en_am_or
መኪናየ የት አለ?,Konkolaataan koo eessa jira?,Where is the car?,0,trilingual,en_am_or
ምንም ነገር አይንኩ።,Waan tokkollee hin tuqinaa.,Don't touch anything.,0,trilingual,en_am_or
ዘመናዊ መርከቦች አነስተኛ ሰራተኞች ብቻ ያስፈልጋቸዋል።,Doonii ammayyaa hojjettoota xiqqaa qofa barbaachisa.,Modern ships require only a small crew.,0,trilingual,en_am_or
ስራውን ቀላል ያደርጉታል።,Hojicha salphisaa.,They make the job easier.,0,trilingual,en_am_or
በፍጥነት ያሽከረክራል።,Saffisaan konkolaachisa.,He drives fast.,0,trilingual,en_am_or
እኔ አስተማሪ አይደለሁም።,Ani barsiisaa miti.,I am not a teacher.,0,trilingual,en_am_or
ድመቷ ምንጣፉ ላይ ተቀመጠች።,Adurreen matta'aa irra teessee.,The cat sat on the carpet.,0,trilingual,en_am_or
ከእኔ ጋር የሚበላ ነገር መያዝ የሚፈልግ አለ።,Namni waan nyaatamu ana waliin qabachuu barbaadu jiraa.,Someone wants to have something to eat with me.,0,trilingual,en_am_or
እሷን ማስደሰት ከብዶኝ ነበር።,Ishee gammachiisuun natti ulfaate ture.,I found it difficult to please her.,0,trilingual,en_am_or
ጋዙን ማጥፋት ረሳሁ።,Gaazii dhaamsuu dagadheera.,I forgot to turn off the gas.,0,trilingual,en_am_or
መታወቂያው የውሸት ነበር።,Waraqaan eenyummessaa sun sobaa ture.,The ID was fake.,0,trilingual,en_am_or
ማክበር ያለብን ይመስለኛል።,Ayyaaneffachuu qabna jedheen yaada.,I think we should celebrate.,0,trilingual,en_am_or
ዛሬ ጠዋት በጣም ፀጥታችኋል።,Ganama kana baay'ee callistee jirta.,You are very quiet this morning.,0,trilingual,en_am_or
ከልጁ ጋር ካይት በረረ።,Ilma isaa waliin simbirrotti balaliise.,He flew a kite with his son.,0,trilingual,en_am_or
ትልቅ ለውጥ ያመጣል።,Jijjiirama guddaa fidaa.,It makes a big difference.,0,trilingual,en_am_or
የዱላውን አጭር ጫፍ አግኝተዋል።,Fiixee gabaabaa ulee sanaa argatan.,They got the short end of the stick.,0,trilingual,en_am_or
የክፍል ጓደኛየ ነች።,Isheen hiriyyaa daree kooti.,She is a classmate.,0,trilingual,en_am_or
በፍጥነት መሮጥ የሚችል ውሻ አለኝ።,Saree saffisaan fiiguu danda'u qabna.,I have a dog that can run fast.,0,trilingual,en_am_or
ለቶም እውነቱን እነግራለሁ።,Dhugaa jiru Toomitti nan hima.,I'll tell Tom the truth.,0,trilingual,en_am_or
እባካችሁ ይህንን ሚስጥር ጠብቁት።,maaloo iccitii kana eega.,Please keep this a secret.,0,trilingual,en_am_or
ማን እንደሰራ አላውቅም።,Eenyu akka hojjete hin beeku.,I don't know who did it.,0,trilingual,en_am_or
"መቸ ነው የምትነሳው? ""በስምንት እነሳለሁ።""።","Yoom kaata? ""Sa'aatii saddeetitti ka'a."".","When do you get up ""I get up at eight."".",0,trilingual,en_am_or
ትክክል አይመስለኝም።,Sirrii natti hin fakkaatuu.,I don't think it's right.,0,trilingual,en_am_or
መፅሄት ገዛሁት።,Barruulee tokko isaafan bite.,I bought him a magazine.,0,trilingual,en_am_or
ዝናቡ ለሶስት ቀናት ቆየ።,Roobni kun guyyaa sadii tureera.,It rained for three days.,0,trilingual,en_am_or
እጁን ጠቀለለብኝ።,Harka isaa natti marate.,He wrapped his arms around me.,0,trilingual,en_am_or
ቶም ተከተለ።,Toom isa hordofe.,Tom followed.,0,trilingual,en_am_or
መፀዳጃ ቤቶች የት አሉ?,Manneen fincaanii eessa jiru?,Where are the toilets?,0,trilingual,en_am_or
በምትኖርበት አካባቢ ህይወት ምን ይመስላል?,Jireenyi bakka ati jiraattu maal fakkaata?,What is life like in the area where you live?,0,trilingual,en_am_or
እማማ ውሻውን እያጠበችው ስለቆሸሸ ነው።,Harmeen sareen waan xuraa'eef dhiqaa jirti.,Mom is washing the dog because it is dirty.,0,trilingual,en_am_or
ያደረግነው ሙከራ ሁሉ ከሽፏል።,Yaaliin keenya hundi fashalaa'e.,All our attempts have failed.,0,trilingual,en_am_or
ያ መኪና በጣም ፈጣን ነው።,Konkolaataan sun baayyee saffisaa dha.,That car is very fast.,0,trilingual,en_am_or
እግዚአብሄር እኛን ራቁታችንን እንድንሆን አስቦ ቢሆን ኖሮ በዚያ መንገድ እንወለድ ነበር።,Waaqayyo osoo akka nu irraa fagaannu yaadee silaa akkasitti dhalanne turre.,"If God had intended for us to be aloof, we would have been born that way.",0,trilingual,en_am_or
መቀባት አልወድም።,Dibu hin jaalladhu.,I don't like painting.,0,trilingual,en_am_or
ለመፅሄት እጁን ዘረጋ።,Barruulee tokkoof harka isaa diriirsee.,He reached for a magazine.,0,trilingual,en_am_or
ቶምን የማታምን አንተ ብቻ አይደለህም።,Toom kan hin amanne si qofa miti.,You're not the only one who doesn't believe Tom.,0,trilingual,en_am_or
ለማግኘት ቀላል አይደሉም።,Isaan argachuun salphaa miti.,They are not easy to find.,0,trilingual,en_am_or
እሱ ተራ ወሮበላ ከመሆን የዘለለ አይደለም።,Inni nama gowwaa waliigalaa irra kan darbe homaa miti.,He is nothing more than a thug.,0,trilingual,en_am_or
አንዳንድ ሙዚቃን አስቀምጡ።,Muuziqaa tokko tokko kaa'aan.,Put on some music.,0,trilingual,en_am_or
የምሄድበት ጊዜ አሁን ይመስለኛል።,Yeroon ani itti deemu ga'eera jedheen yaada.,I think it's time for me to go.,0,trilingual,en_am_or
ወፍራም አይደለህም።,Ati furdaa miti.,You are not fat.,0,trilingual,en_am_or
ከአስራ ሶስት አመቴ ጀምሮ እሰራለሁ።,Umurii koo waggaa kudha sadii irraa kaasee hojjechaa ture.,I have been working since I was thirteen.,0,trilingual,en_am_or
እንዳገኘችው ካደች።,Isheenis isa waliin wal arguu ishee haalteetti.,She denied finding him.,0,trilingual,en_am_or
ወደዚህ ዛፍ ጫፍ መውጣት የምትችል ይመስልሃል?,Gara gubbaa muka kanaatti ol bahuu dandeessa jettee yaaddaa?,Do you think you can climb to the top of this tree?,0,trilingual,en_am_or
ቃላትወን በደንብ ይመዝኑ።,Jechoota kee akka gaariitti madaali.,Weigh your words well.,0,trilingual,en_am_or
ተረጋጋ፣ እና የተቻለህን አድርግ።,"Tasgabbaa'i, waan dandeessu godhi.","Keep calm, and do your best.",0,trilingual,en_am_or
በዚህ ክፍል ውስጥ ጣሪያው በጣም ዝቅተኛ ነው።,Kutaa kun keenyan isaa baay'ee gadi aanadha.,The ceiling in this room is very low.,0,trilingual,en_am_or
በእውነት ወደ ስራ መመለስ አለብኝ።,Dhuguma hojiitti deebi'uun qaba.,I really need to get back to work.,0,trilingual,en_am_or
ኮሜት እና አስትሮይድ አታምታታ።,Koomeetii fi asteroyidii hin burjaajessinaa.,Don't confuse comets and asteroids.,0,trilingual,en_am_or
ለአንድ ሳምንት ሙሉ እሄዳለሁ።,Torban guutuuf nan deema.,I will be gone for a whole week.,0,trilingual,en_am_or
ለእኔ ከቤተሰቤ የበለጠ አስፈላጊ ነገር የለም።,Maatii koo caalaa wanti naaf barbaachisaa ta'e hin jiru.,Nothing is more important to me than my family.,0,trilingual,en_am_or
በየቀኑ ገላየን እጠባለሁ።,Guyyaa guyyaan dhiqadha.,I shower every day.,0,trilingual,en_am_or
የምትሄድ መስሎኝ ነበር።,Ni deemta jedheen ture.,I thought you were leaving.,0,trilingual,en_am_or
በኩባንያው ስም እንኳን ደህና መጣችሁ።,Maqaa dhaabbatichaatiin baga nagaan dhuftan.,Welcome on behalf of the company.,0,trilingual,en_am_or
ትናንት ግቢ ውስጥ አገኘኋት።,Kaleessa mooraa keessatti ishee waliin wal barre.,I met her in the yard yesterday.,0,trilingual,en_am_or
አደርግሃለሁ።,Nan godha.,I will do you.,0,trilingual,en_am_or
የእረፍት ጊዜው ወደ ማብቂያው ተቃርቧል።,Boqonnaan xumuramuutti dhihaateera.,The vacation is almost over.,0,trilingual,en_am_or
ለትንሽ ግላዊነት አዘጋጅቻለሁ።,Xiqqoo iccitii akka ta'u qopheesseen jira.,I prepared for a little privacy.,0,trilingual,en_am_or
በማለዳው የቤተክርስቲያን አገልግሎት መገኘት አልቻለችም።,Tajaajila waldaa ganama irratti hirmaachuu hin dandeenye.,She was unable to attend the morning church service.,0,trilingual,en_am_or
አስደሳች በረራ እንመኝልወታለን።,Balalii gammachiisaa isiniif hawwina.,We wish you a pleasant flight.,0,trilingual,en_am_or
እባካችሁ ዘምሩ።,Maaloo faarfadhaa.,Please sing.,0,trilingual,en_am_or
በጣም ግራ የተጋባ ስሜት ተሰማኝ።,Baayyee burjaaja'ee natti dhaga'ame.,I felt very confused.,0,trilingual,en_am_or
ብዙ ጊዜ ሌሊቱን ሙሉ እተኛለሁ።,Yeroo baayʼee halkan guutuu hirribaa nan rafa.,I usually sleep through the night.,0,trilingual,en_am_or
አርክቴክቱ የቤቱን ንድፍ አውጥቷል።,Arkiteektichi pilaanii mana kanaa kaase.,The architect designed the house.,0,trilingual,en_am_or
በባቡር ውስጥ በየቀኑ የማየው ይህ ሰው ነው።,Baabura keessatti namni ani yeroo hundaa argaa ture nama kana.,This is the guy I see every day on the train.,0,trilingual,en_am_or
ለእሱ መሮጥ አለብን።,Isaaf fiiguu qabnaa.,We have to run for it.,0,trilingual,en_am_or
ተነስቶ በውይይቱ መሃል ወጣ።,Ka'ee marii gidduuti ba'e.,He got up and left in the middle of the conversation.,0,trilingual,en_am_or
ቶም እነዚህን እንዳይጠቀም ነገርኩት።,Toomiin kanneen akka hin fayyadamne itti hime.,I told Tom not to use these.,0,trilingual,en_am_or
እንግዳወችን አምኘ አላውቅም።,Nama hin beekne amanee hin beeku.,I have never trusted strangers.,0,trilingual,en_am_or
ለዚህ ነው የዘገየሁት።,Kanaafi kanan harkifadhu.,That's why I'm late.,0,trilingual,en_am_or
ወንበሩ ላይ አሰረችው።,Teessoo irratti hiite.,She tied him to the chair.,0,trilingual,en_am_or
ምን ማድረግ እንዳለብኝ ሳላውቅ ምንም አላደረግኩም።,Waan godhu wallaalee homaa hin goone.,I didn't know what to do.,0,trilingual,en_am_or
ጥሩ ነጥብ ነው።,Qabxii gaarii dha.,That's a good point.,0,trilingual,en_am_or
ጀርባየ ላይ ተኝቸ ነበር።,Dugda kootiin ciisee ture.,He was lying on his back.,0,trilingual,en_am_or
በጣም ቅርብ ነበር።,Dhuguma dhihoo ture.,It was very close.,0,trilingual,en_am_or
በእውነት እንደ ቢራ ይሰማኛል።,Dhuguma akka biiraa natti dhagahama.,ERROR: The read operation timed out.,0,trilingual,en_am_or
ለምን እንደማትወዱኝ አላውቅም።,Maaliif akka na hin jaalanne hin beeku.,I don't know why you don't like me.,0,trilingual,en_am_or
አንተን ማግኘቴ በጣም ደስ ይላል።,Siin wal arguun nama gammachiisa.,Nice to meet you.,0,trilingual,en_am_or
እንደት ፈረሶችን አትወድም።,Akkamitti fardeen hin jaallattu.,You don't like horses.,0,trilingual,en_am_or
ቶም ምናልባት በህንፃው ውስጥ ነው።,Toom gamoo sana keessa jiraachuu hin oolu.,Tom is probably in the building.,0,trilingual,en_am_or
አደጋው ከከባድ በረዶው ጋር የሚያገናኘው ነገር ይመስላል።,Balaan kun qorra cimaa wajjin waan wal qabatu fakkaata ture.,The crash seems to have something to do with the heavy snow.,0,trilingual,en_am_or
የመመዝገቢያ ትምህርትወ በሆሄያት ስህተቶች የተሞላ ነው።,Galmeen barnoota dogoggora qubeetiin guutameera.,The registry is full of spelling mistakes.,0,trilingual,en_am_or
አሁን ሰው ነህ።,Ati amma namaa.,You are human now.,0,trilingual,en_am_or
ፍየልን እንደት ማጥባትን ያስተማረኝ ቶም ነበር።,Akkatti re'ee elman kan barsiise Toomi dha.,It was Tom who taught me how to milk a goat.,0,trilingual,en_am_or
ሰነፍ ሆኛለሁ ብየ እገምታለሁ።,Dhibaa'a ta'eera jedheen tilmaama.,I guess I've been lazy.,0,trilingual,en_am_or
እሷም ለእሷ ትኩረት አልሰጠም በማለት ከሰሰችው።,Xiyyeeffannoo isheef hin kennine jechuun himatamte.,She accused him of not paying attention to her.,0,trilingual,en_am_or
ቶም ፈረንሳይኛ አቀላጥፎ ያውቃል።,Toom afaan Faransaayii sirriitti beeka.,Tom is fluent in French.,0,trilingual,en_am_or
ኮኮዋ በጣም መራራ ሊሆን ይችላል።,Kookaa baayyee hadhaa'aa ta'uu danda'a.,Cocoa can be very bitter.,0,trilingual,en_am_or
ይህ ልብ ወለድ ለመረዳት አስቸጋሪ ነው።,Asoosamni kun hubachuun rakkisaadha.,This novel is difficult to understand.,0,trilingual,en_am_or
ያ የኔ አይደለም።,Sun kan koo miti.,That's not mine.,0,trilingual,en_am_or
ሁልጊዜ አውቶቡሱን ወደ ቦስተን መመለስ እችላለሁ፣ አይደል?,Yeroo hunda Atobisii fudhadhee gara Boostonitti deebi'uu nan danda'a mitiiree?,"I can always take the bus back to Boston, right?",0,trilingual,en_am_or
ልይዘው እችላለሁ።,Ani danda'a.,I can handle it.,0,trilingual,en_am_or
ጊዜህን ውሰድ። ችኮላ የለም።,Yeroo kee fudhadhu. Ariitiin hin jiru.,take your time.There is no rush.,0,trilingual,en_am_or
በተጨናነቁ ባቡሮች ላይ ኪስ ኪስ ያዙ።,Baabura namaan guutame irratti boorsaa keessan qabadha.,Pick pockets on crowded trains.,0,trilingual,en_am_or
የምንኖረው በቦስተን ነው።,Booston keessa jiraanna.,We live in Boston.,0,trilingual,en_am_or
በሚቀጥለው ሳምንት ወደ ለንደን የንግድ ጉዞ ታደርጋለች።,Torban dhufu imala daldalaaf gara Landanitti ni taasifti.,She will be on a business trip to London next week.,0,trilingual,en_am_or
ጌታ ሆይ! በእንደዚህ አይነት ሁኔታ ውስጥ አገኛለሁ ብየ የጠበኩት የመጨረሻ ሰው ነወት።,Inni nama isa dhumaa haala akkanaa keessatti wal argu jedhee eegedha.,"Lord, you are the last person I expected to meet in such a situation.",0,trilingual,en_am_or
በእርግጥ ይህ አስፈላጊ የሚሆን አይመስለኝም።,Dhuguma sun barbaachisaa natti hin fakkaatu.,I really don't think this will matter.,0,trilingual,en_am_or
እኔ በግሌ አልወስደውም።,Ani akka dhuunfaatti hin fudhadhu.,I don't take it personally.,0,trilingual,en_am_or
ይህ እንደማይሆን እርግጠኛ ነኝ።,Sun akka hin taane mirkanaa'aa dha.,I'm sure that won't happen.,0,trilingual,en_am_or
ያንን ፊልም ወድጀዋለሁ።,Fiilmii sana baay'een jaalladheera.,I love that movie.,0,trilingual,en_am_or
ይህ ደግሞ ሌላ ጉዳይ ነው።,Sun dhimma biraati.,This is another matter.,0,trilingual,en_am_or
መምጣት አለብህ።,Dhufuu qabda.,You must come.,0,trilingual,en_am_or
በወረቀቱ ላይ ሁለት ግድ የለሽ ስህተቶች ነበሩ።,Waraqaa isaa irratti dogoggorri of eeggannoo malee hojjetame lama ture.,There were two careless mistakes in the paper.,0,trilingual,en_am_or
እዚህ አጠገብ ዳቦ መጋገሪያ አለ።,Asitti dhihoo bakki daabboo tolchan jiraa.,There is a bakery near here.,0,trilingual,en_am_or
ጤናማ ልጅ ወለደች።,Daa'ima fayyaa qabu deesse.,She gave birth to a healthy baby.,0,trilingual,en_am_or
የጉዞህ አላማ ምንድን ነው?,Kaayyoon imala keessanii maali?,What is the purpose of your trip?,0,trilingual,en_am_or
መንገዱ በጣም ጠባብ ነው።,Daandiin baayyee dhiphoodha.,The road is very narrow.,0,trilingual,en_am_or
ውሻህን በጥሩ ሁኔታ እንደምጠብቅ ቃል እገባለሁ።,Saree kee akka gaariitti akkan kunuunsu waadaa siif gala.,I promise to take good care of your dog.,0,trilingual,en_am_or
አብረን ፈረንሳይኛ ተምረናል።,Afaan Faransaayii waliin baranne.,We learned French together.,0,trilingual,en_am_or
ሁልጊዜ ህክምናን አለመቀበል መብት አለህ፣።,"Yeroo hunda wal'aansa diduu mirga qabda,.",You always have the right to refuse treatment;.,0,trilingual,en_am_or
ሆኖም፣ ያ ምርጫህ ከሆነ ሊያስከትል የሚችለውን ውጤት ማስረዳት አለብኝ።,"Haa ta'u malee, filannoo kee yoo ta'eyyuu bu'aa inni fiduu danda'u ragaan qaba.","However, I must explain the consequences if that is your choice.",0,trilingual,en_am_or
እኛ የምናደርገውን ነገር ብዙ ሰወች አልወደዱትም።,Namoonni baay'een waan nuti hojjennu hin jaalanne.,A lot of people didn't like what we were doing.,0,trilingual,en_am_or
ለምን እኔን ለመሳም ረጅም ጊዜ ጠበክ?,Maaliif na dhungachuuf yeroo dheeraa eegde?,Why did you wait so long to kiss me?,0,trilingual,en_am_or
ብቻየን መሆን እፈልጋለሁ።,Kophaa ta'uu nan barbaada.,I want to be alone.,0,trilingual,en_am_or
ሌላ ምንም የምለው የለኝም።,Waan biraa waanan jedhuu hin qabu.,I have nothing else to say.,0,trilingual,en_am_or
ጓደኞቸ ስለ ሞኝ ባህሪየ ነቀፉኝ።,Hiriyoonni koo amala gowwummaa kootiif na arrabsan.,Friends scolded me for my stupid behavior.,0,trilingual,en_am_or
በሶስት እወስድሃለሁ።,Sa'aatii sadiitti si fudhadha.,I'll take you in three.,0,trilingual,en_am_or
ይህን እንደት ማድረግ እንዳለብወት ያውቃሉ።,Kana akkamitti akka gootu beektaa.,You know how to do it.,0,trilingual,en_am_or
በጠረጴዛው ላይ ነጠብጣብ አለ።,Minjaala irratti xuriitu jira.,There is a stain on the table.,0,trilingual,en_am_or
ህገወጥ አይደሉም።,Isaan seeraan alaa miti.,They are not illegal.,0,trilingual,en_am_or
ታሪክን ለማሳጠር ከስራ ተባረረ።,Seenaa dheeraa gabaabsuuf hojii irraa ari'ame.,"Long story short, he was fired.",0,trilingual,en_am_or
ስህተት የሰራነው እኛ ብቻ አይደለንም።,Kan dogongore nu qofa miti.,We are not the only ones who have made mistakes.,0,trilingual,en_am_or
በድንገት ዞር ብላለች።,Akka tasaa garagalte.,She suddenly turned around.,0,trilingual,en_am_or
ወደ ነርሷ እንድትሄድ እፈልጋለሁ።,Gara narsii akka deemtu nan barbaada.,I want you to go to the nurse.,0,trilingual,en_am_or
ይህ እንዳለህ ማን ያውቃል።,Kana akka qabdu eenyutu beeka.,Who knows that you have this.,0,trilingual,en_am_or
እሱን መታገስ አልችልም።,Isa obsuu hin danda'u.,I can't stand him.,0,trilingual,en_am_or
በልጅነቱ ከስኮትላንድ ወደ አሜሪካ መጣ።,Mucummaa isaatti Iskootilaandii irraa gara Ameerikaa dhufe.,He came to America from Scotland as a child.,0,trilingual,en_am_or
ቃል ገባሁ።,Waadaa galeera.,I promised.,0,trilingual,en_am_or
የምር አዝኛለሁ፣ ግን መሃረብሽን ያለቦታው ያደረግኩት ይመስላል።,"Dhuguma gaddeera, garuu scaarfii kee waanan bakka maleen kaa'e natti fakkata.","I'm really sorry, but it looks like I misplaced your scarf.",0,trilingual,en_am_or
ይህ እንዳይከሰት እንደት መከላከል እችላለሁ።,Akkamittan kun akka hin mudanne ittisuu danda'a.,I can prevent this from happening.,0,trilingual,en_am_or
ቶም ሊጠይቃቸው የሚፈልጋቸው ጥያቄወች ነበሩት።,Toom gaaffiin gaafachuu barbaadu qaban ture.,Tom had questions he wanted to ask.,0,trilingual,en_am_or
በዝግታ እንድናገር ነገረኝ።,Suuta jedhee akkan dubbadhu natti hime.,He told me to speak slowly.,0,trilingual,en_am_or
ፍች እፈልጋለሁ።,Wal hiikuu barbaadu.,I want an explanation.,0,trilingual,en_am_or
እርስወ ሊተኩ የሚችሉ አይደሉም።,Isaan bakka buufamuu hin danda'an.,They are not replaceable.,0,trilingual,en_am_or
ይህ ወረቀት ነጭ ነው።,Waraqaan kun adii dha.,This paper is white.,0,trilingual,en_am_or
በአንድ ኮንፈረንስ ላይ ወረቀት አቀርባለሁ።,Konfiraansii tokko irratti waraqaa tokkon dhiheessa.,I will present a paper at a conference.,0,trilingual,en_am_or
ዝም ብየ እጠብቃለሁ።,Calliseen eega.,I just wait.,0,trilingual,en_am_or
ከቡድኑ ጋር አስተዋውቃችኋለሁ።,Garee kanaan isin beeksisa.,I will introduce you to the group.,0,trilingual,en_am_or
እስካሁን ምንም አላየህም።,Ammatti homaa hin argine.,You haven't seen anything yet.,0,trilingual,en_am_or
ህይወት እንደቀድሞው እንድትሆን እመኛለሁ።,Jireenyi akka kanaan dura ture akka ta'u nan barbaada.,I wish life could be the way it used to be.,0,trilingual,en_am_or
ነገ ከሰአት በኋላ ሊመጣ ይችላል።,Boru waaree booda dhufuu mala.,He may come tomorrow afternoon.,0,trilingual,en_am_or
ቶም ገና ገና ከመድረሱ ጥቂት ቀናት በፊት አውስትራሊያን ለቅቋል።,Toom Ayyaana Qillee guyyoota muraasa dura Awustiraaliyaa gadhiise.,Tom left Australia a few days before Christmas.,0,trilingual,en_am_or
ሙሉ በሙሉ እንደሚድኑ ተስፋ አደርጋለሁ።,Guutummaatti akka fayyitan abdiin qaba.,I hope you will recover completely.,0,trilingual,en_am_or
በፓርቲው ላይ ማንም ፈረንሳይኛ አይናገርም።,Dhaaba kana irratti namni afaan Faransaayii dubbatu hin turre.,No one speaks French at the party.,0,trilingual,en_am_or
ቶም ባለፈው ሳምንት ገባ።,Toom torban darbe gara manaatti gale.,Tom came in last week.,0,trilingual,en_am_or
ቶም ከማርያም ጋር ተለያዩ።,Toom Maariyam wajjin addaan baʼe.,Tom broke up with Mary.,0,trilingual,en_am_or
ቴምብሮችን ከየት አገኛለሁ?,Chaappaa eessaa argadha?,Where do I get the stamps?,0,trilingual,en_am_or
"መኪናውን በ12,000 ዶላር ገዛን።","Konkolaataa kana doolaara 12,000 n bitanne.","We bought the car for $12,000.",0,trilingual,en_am_or
የዚህ ኩባንያ የትርፍ ህዳግ በጣም ትልቅ ነው።,Bu'aan dhaabbata kanaa baayyee guddaadha.,The profit margin of this company is huge.,0,trilingual,en_am_or
እንደዚህ ማብሰል እንደምትችል አላውቅም ነበር።,Akkasitti nyaata bilcheessuu akka dandeessu hin beeku ture.,I didn't know you could cook like that.,0,trilingual,en_am_or
የኪዊፍሩትን ቆዳ መብላት ይቻላል።,Gogaa Kiwii firii nyaachuu dandeessaa.,The skin of kiwifruit can be eaten.,0,trilingual,en_am_or
ያ ልጅ አንተን ይመስላል።,Mucaan sun si fakkaata.,That boy looks like you.,0,trilingual,en_am_or
የትኛው ጃንጥላ ነው ያንተ?,Dibaabee kamtu kan keeti?,Which umbrella is yours?,0,trilingual,en_am_or
ተመልካቾችህን በፍፁም አቅልለህ አትመልከት።,Dhaggeeffattoota kee gonkumaa xiqqeessuu hin qabdu.,Never underestimate your audience.,0,trilingual,en_am_or
የሆነ ነገር እንደሰማሁ አውቃለሁ።,Waan tokko akkan dhaga'e nan beeka.,I knew I heard something.,0,trilingual,en_am_or
አሁንም ወደ ቦስተን የመመለስ እቅድ አለህ።,Ammallee gara Boostonitti deebi'uuf karoora qabdaa.,You still have plans to return to Boston.,0,trilingual,en_am_or
ከእኔ በፊት እንደት እዚህ ደረስክ።,Akkamitti na dura as geesse.,You got here before me.,0,trilingual,en_am_or
እያወሩ ነው።,Isaan haasa'aa jiru.,They are talking.,0,trilingual,en_am_or
ከነዚህ ነገሮች አንዱ ነበር።,Wantoota sana keessaa tokko ture.,It was one of those things.,0,trilingual,en_am_or
ዛሬ ጠዋት አርፍደሃል።,Ganama kana harkifattee jirta.,You are late this morning.,0,trilingual,en_am_or
