Amharic,Oromo,English
መቀባት አልወድም።,Dibu hin jaalladhu.,I don't like painting.
ለመፅሄት እጁን ዘረጋ።,Barruulee tokkoof harka isaa diriirsee.,He reached for a magazine.
ቶምን የማታምን አንተ ብቻ አይደለህም።,Toom kan hin amanne si qofa miti.,You're not the only one who doesn't believe Tom.
ለማግኘት ቀላል አይደሉም።,Isaan argachuun salphaa miti.,They are not easy to find.
እሱ ተራ ወሮበላ ከመሆን የዘለለ አይደለም።,Inni nama gowwaa waliigalaa irra kan darbe homaa miti.,He is nothing more than a thug.
አንዳንድ ሙዚቃን አስቀምጡ።,Muuziqaa tokko tokko kaa'aan.,Put on some music.
የምሄድበት ጊዜ አሁን ይመስለኛል።,Yeroon ani itti deemu ga'eera jedheen yaada.,I think it's time for me to go.
ወፍራም አይደለህም።,Ati furdaa miti.,You are not fat.
ከአስራ ሶስት አመቴ ጀምሮ እሰራለሁ።,Umurii koo waggaa kudha sadii irraa kaasee hojjechaa ture.,I have been working since I was thirteen.
እንዳገኘችው ካደች።,Isheenis isa waliin wal arguu ishee haalteetti.,She denied finding him.
ወደዚህ ዛፍ ጫፍ መውጣት የምትችል ይመስልሃል?,Gara gubbaa muka kanaatti ol bahuu dandeessa jettee yaaddaa?,Do you think you can climb to the top of this tree?
ቃላትወን በደንብ ይመዝኑ።,Jechoota kee akka gaariitti madaali.,Weigh your words well.
ተረጋጋ፣ እና የተቻለህን አድርግ።,"Tasgabbaa'i, waan dandeessu godhi.","Keep calm, and do your best."
በዚህ ክፍል ውስጥ ጣሪያው በጣም ዝቅተኛ ነው።,Kutaa kun keenyan isaa baay'ee gadi aanadha.,The ceiling in this room is very low.
በእውነት ወደ ስራ መመለስ አለብኝ።,Dhuguma hojiitti deebi'uun qaba.,I really need to get back to work.
ኮሜት እና አስትሮይድ አታምታታ።,Koomeetii fi asteroyidii hin burjaajessinaa.,Don't confuse comets and asteroids.
ለአንድ ሳምንት ሙሉ እሄዳለሁ።,Torban guutuuf nan deema.,I will be gone for a whole week.
ለእኔ ከቤተሰቤ የበለጠ አስፈላጊ ነገር የለም።,Maatii koo caalaa wanti naaf barbaachisaa ta'e hin jiru.,Nothing is more important to me than my family.
በየቀኑ ገላየን እጠባለሁ።,Guyyaa guyyaan dhiqadha.,I shower every day.
የምትሄድ መስሎኝ ነበር።,Ni deemta jedheen ture.,I thought you were leaving.
በኩባንያው ስም እንኳን ደህና መጣችሁ።,Maqaa dhaabbatichaatiin baga nagaan dhuftan.,Welcome on behalf of the company.
ትናንት ግቢ ውስጥ አገኘኋት።,Kaleessa mooraa keessatti ishee waliin wal barre.,I met her in the yard yesterday.
አደርግሃለሁ።,Nan godha.,I will do you.
የእረፍት ጊዜው ወደ ማብቂያው ተቃርቧል።,Boqonnaan xumuramuutti dhihaateera.,The vacation is almost over.
ለትንሽ ግላዊነት አዘጋጅቻለሁ።,Xiqqoo iccitii akka ta'u qopheesseen jira.,I prepared for a little privacy.
በማለዳው የቤተክርስቲያን አገልግሎት መገኘት አልቻለችም።,Tajaajila waldaa ganama irratti hirmaachuu hin dandeenye.,She was unable to attend the morning church service.
አስደሳች በረራ እንመኝልወታለን።,Balalii gammachiisaa isiniif hawwina.,We wish you a pleasant flight.
እባካችሁ ዘምሩ።,Maaloo faarfadhaa.,Please sing.
በጣም ግራ የተጋባ ስሜት ተሰማኝ።,Baayyee burjaaja'ee natti dhaga'ame.,I felt very confused.
ብዙ ጊዜ ሌሊቱን ሙሉ እተኛለሁ።,Yeroo baayʼee halkan guutuu hirribaa nan rafa.,I usually sleep through the night.
አርክቴክቱ የቤቱን ንድፍ አውጥቷል።,Arkiteektichi pilaanii mana kanaa kaase.,The architect designed the house.
በባቡር ውስጥ በየቀኑ የማየው ይህ ሰው ነው።,Baabura keessatti namni ani yeroo hundaa argaa ture nama kana.,This is the guy I see every day on the train.
ለእሱ መሮጥ አለብን።,Isaaf fiiguu qabnaa.,We have to run for it.
ተነስቶ በውይይቱ መሃል ወጣ።,Ka'ee marii gidduuti ba'e.,He got up and left in the middle of the conversation.
ቶም እነዚህን እንዳይጠቀም ነገርኩት።,Toomiin kanneen akka hin fayyadamne itti hime.,I told Tom not to use these.
እንግዳወችን አምኘ አላውቅም።,Nama hin beekne amanee hin beeku.,I have never trusted strangers.
ለዚህ ነው የዘገየሁት።,Kanaafi kanan harkifadhu.,That's why I'm late.
ወንበሩ ላይ አሰረችው።,Teessoo irratti hiite.,She tied him to the chair.
ምን ማድረግ እንዳለብኝ ሳላውቅ ምንም አላደረግኩም።,Waan godhu wallaalee homaa hin goone.,I didn't know what to do.
ጥሩ ነጥብ ነው።,Qabxii gaarii dha.,That's a good point.
ጀርባየ ላይ ተኝቸ ነበር።,Dugda kootiin ciisee ture.,He was lying on his back.
በጣም ቅርብ ነበር።,Dhuguma dhihoo ture.,It was very close.
በእውነት እንደ ቢራ ይሰማኛል።,Dhuguma akka biiraa natti dhagahama.,ERROR: The read operation timed out.
ለምን እንደማትወዱኝ አላውቅም።,Maaliif akka na hin jaalanne hin beeku.,I don't know why you don't like me.
አንተን ማግኘቴ በጣም ደስ ይላል።,Siin wal arguun nama gammachiisa.,Nice to meet you.
እንደት ፈረሶችን አትወድም።,Akkamitti fardeen hin jaallattu.,You don't like horses.
ቶም ምናልባት በህንፃው ውስጥ ነው።,Toom gamoo sana keessa jiraachuu hin oolu.,Tom is probably in the building.
አደጋው ከከባድ በረዶው ጋር የሚያገናኘው ነገር ይመስላል።,Balaan kun qorra cimaa wajjin waan wal qabatu fakkaata ture.,The crash seems to have something to do with the heavy snow.
የመመዝገቢያ ትምህርትወ በሆሄያት ስህተቶች የተሞላ ነው።,Galmeen barnoota dogoggora qubeetiin guutameera.,The registry is full of spelling mistakes.
አሁን ሰው ነህ።,Ati amma namaa.,You are human now.
ፍየልን እንደት ማጥባትን ያስተማረኝ ቶም ነበር።,Akkatti re'ee elman kan barsiise Toomi dha.,It was Tom who taught me how to milk a goat.
ሰነፍ ሆኛለሁ ብየ እገምታለሁ።,Dhibaa'a ta'eera jedheen tilmaama.,I guess I've been lazy.
እሷም ለእሷ ትኩረት አልሰጠም በማለት ከሰሰችው።,Xiyyeeffannoo isheef hin kennine jechuun himatamte.,She accused him of not paying attention to her.
ቶም ፈረንሳይኛ አቀላጥፎ ያውቃል።,Toom afaan Faransaayii sirriitti beeka.,Tom is fluent in French.
ኮኮዋ በጣም መራራ ሊሆን ይችላል።,Kookaa baayyee hadhaa'aa ta'uu danda'a.,Cocoa can be very bitter.
ይህ ልብ ወለድ ለመረዳት አስቸጋሪ ነው።,Asoosamni kun hubachuun rakkisaadha.,This novel is difficult to understand.
ያ የኔ አይደለም።,Sun kan koo miti.,That's not mine.
ሁልጊዜ አውቶቡሱን ወደ ቦስተን መመለስ እችላለሁ፣ አይደል?,Yeroo hunda Atobisii fudhadhee gara Boostonitti deebi'uu nan danda'a mitiiree?,"I can always take the bus back to Boston, right?"
ልይዘው እችላለሁ።,Ani danda'a.,I can handle it.
ጊዜህን ውሰድ። ችኮላ የለም።,Yeroo kee fudhadhu. Ariitiin hin jiru.,take your time.There is no rush.
በተጨናነቁ ባቡሮች ላይ ኪስ ኪስ ያዙ።,Baabura namaan guutame irratti boorsaa keessan qabadha.,Pick pockets on crowded trains.
የምንኖረው በቦስተን ነው።,Booston keessa jiraanna.,We live in Boston.
በሚቀጥለው ሳምንት ወደ ለንደን የንግድ ጉዞ ታደርጋለች።,Torban dhufu imala daldalaaf gara Landanitti ni taasifti.,She will be on a business trip to London next week.
ጌታ ሆይ! በእንደዚህ አይነት ሁኔታ ውስጥ አገኛለሁ ብየ የጠበኩት የመጨረሻ ሰው ነወት።,Inni nama isa dhumaa haala akkanaa keessatti wal argu jedhee eegedha.,"Lord, you are the last person I expected to meet in such a situation."
በእርግጥ ይህ አስፈላጊ የሚሆን አይመስለኝም።,Dhuguma sun barbaachisaa natti hin fakkaatu.,I really don't think this will matter.
እኔ በግሌ አልወስደውም።,Ani akka dhuunfaatti hin fudhadhu.,I don't take it personally.
ይህ እንደማይሆን እርግጠኛ ነኝ።,Sun akka hin taane mirkanaa'aa dha.,I'm sure that won't happen.
ያንን ፊልም ወድጀዋለሁ።,Fiilmii sana baay'een jaalladheera.,I love that movie.
ይህ ደግሞ ሌላ ጉዳይ ነው።,Sun dhimma biraati.,This is another matter.
መምጣት አለብህ።,Dhufuu qabda.,You must come.
በወረቀቱ ላይ ሁለት ግድ የለሽ ስህተቶች ነበሩ።,Waraqaa isaa irratti dogoggorri of eeggannoo malee hojjetame lama ture.,There were two careless mistakes in the paper.
እዚህ አጠገብ ዳቦ መጋገሪያ አለ።,Asitti dhihoo bakki daabboo tolchan jiraa.,There is a bakery near here.
ጤናማ ልጅ ወለደች።,Daa'ima fayyaa qabu deesse.,She gave birth to a healthy baby.
የጉዞህ አላማ ምንድን ነው?,Kaayyoon imala keessanii maali?,What is the purpose of your trip?
መንገዱ በጣም ጠባብ ነው።,Daandiin baayyee dhiphoodha.,The road is very narrow.
ውሻህን በጥሩ ሁኔታ እንደምጠብቅ ቃል እገባለሁ።,Saree kee akka gaariitti akkan kunuunsu waadaa siif gala.,I promise to take good care of your dog.
አብረን ፈረንሳይኛ ተምረናል።,Afaan Faransaayii waliin baranne.,We learned French together.
ሁልጊዜ ህክምናን አለመቀበል መብት አለህ፣።,"Yeroo hunda wal'aansa diduu mirga qabda,.",You always have the right to refuse treatment;.
ሆኖም፣ ያ ምርጫህ ከሆነ ሊያስከትል የሚችለውን ውጤት ማስረዳት አለብኝ።,"Haa ta'u malee, filannoo kee yoo ta'eyyuu bu'aa inni fiduu danda'u ragaan qaba.","However, I must explain the consequences if that is your choice."
እኛ የምናደርገውን ነገር ብዙ ሰወች አልወደዱትም።,Namoonni baay'een waan nuti hojjennu hin jaalanne.,A lot of people didn't like what we were doing.
ለምን እኔን ለመሳም ረጅም ጊዜ ጠበክ?,Maaliif na dhungachuuf yeroo dheeraa eegde?,Why did you wait so long to kiss me?
ብቻየን መሆን እፈልጋለሁ።,Kophaa ta'uu nan barbaada.,I want to be alone.
ሌላ ምንም የምለው የለኝም።,Waan biraa waanan jedhuu hin qabu.,I have nothing else to say.
ጓደኞቸ ስለ ሞኝ ባህሪየ ነቀፉኝ።,Hiriyoonni koo amala gowwummaa kootiif na arrabsan.,Friends scolded me for my stupid behavior.
በሶስት እወስድሃለሁ።,Sa'aatii sadiitti si fudhadha.,I'll take you in three.
ይህን እንደት ማድረግ እንዳለብወት ያውቃሉ።,Kana akkamitti akka gootu beektaa.,You know how to do it.
በጠረጴዛው ላይ ነጠብጣብ አለ።,Minjaala irratti xuriitu jira.,There is a stain on the table.
ህገወጥ አይደሉም።,Isaan seeraan alaa miti.,They are not illegal.
ታሪክን ለማሳጠር ከስራ ተባረረ።,Seenaa dheeraa gabaabsuuf hojii irraa ari'ame.,"Long story short, he was fired."
ስህተት የሰራነው እኛ ብቻ አይደለንም።,Kan dogongore nu qofa miti.,We are not the only ones who have made mistakes.
በድንገት ዞር ብላለች።,Akka tasaa garagalte.,She suddenly turned around.
ወደ ነርሷ እንድትሄድ እፈልጋለሁ።,Gara narsii akka deemtu nan barbaada.,I want you to go to the nurse.
ይህ እንዳለህ ማን ያውቃል።,Kana akka qabdu eenyutu beeka.,Who knows that you have this.
እሱን መታገስ አልችልም።,Isa obsuu hin danda'u.,I can't stand him.
በልጅነቱ ከስኮትላንድ ወደ አሜሪካ መጣ።,Mucummaa isaatti Iskootilaandii irraa gara Ameerikaa dhufe.,He came to America from Scotland as a child.
ቃል ገባሁ።,Waadaa galeera.,I promised.
የምር አዝኛለሁ፣ ግን መሃረብሽን ያለቦታው ያደረግኩት ይመስላል።,"Dhuguma gaddeera, garuu scaarfii kee waanan bakka maleen kaa'e natti fakkata.","I'm really sorry, but it looks like I misplaced your scarf."
ይህ እንዳይከሰት እንደት መከላከል እችላለሁ።,Akkamittan kun akka hin mudanne ittisuu danda'a.,I can prevent this from happening.
ቶም ሊጠይቃቸው የሚፈልጋቸው ጥያቄወች ነበሩት።,Toom gaaffiin gaafachuu barbaadu qaban ture.,Tom had questions he wanted to ask.
በዝግታ እንድናገር ነገረኝ።,Suuta jedhee akkan dubbadhu natti hime.,He told me to speak slowly.
ፍች እፈልጋለሁ።,Wal hiikuu barbaadu.,I want an explanation.
እርስወ ሊተኩ የሚችሉ አይደሉም።,Isaan bakka buufamuu hin danda'an.,They are not replaceable.
ይህ ወረቀት ነጭ ነው።,Waraqaan kun adii dha.,This paper is white.
በአንድ ኮንፈረንስ ላይ ወረቀት አቀርባለሁ።,Konfiraansii tokko irratti waraqaa tokkon dhiheessa.,I will present a paper at a conference.
ዝም ብየ እጠብቃለሁ።,Calliseen eega.,I just wait.
ከቡድኑ ጋር አስተዋውቃችኋለሁ።,Garee kanaan isin beeksisa.,I will introduce you to the group.
እስካሁን ምንም አላየህም።,Ammatti homaa hin argine.,You haven't seen anything yet.
ህይወት እንደቀድሞው እንድትሆን እመኛለሁ።,Jireenyi akka kanaan dura ture akka ta'u nan barbaada.,I wish life could be the way it used to be.
ነገ ከሰአት በኋላ ሊመጣ ይችላል።,Boru waaree booda dhufuu mala.,He may come tomorrow afternoon.
ቶም ገና ገና ከመድረሱ ጥቂት ቀናት በፊት አውስትራሊያን ለቅቋል።,Toom Ayyaana Qillee guyyoota muraasa dura Awustiraaliyaa gadhiise.,Tom left Australia a few days before Christmas.
ሙሉ በሙሉ እንደሚድኑ ተስፋ አደርጋለሁ።,Guutummaatti akka fayyitan abdiin qaba.,I hope you will recover completely.
በፓርቲው ላይ ማንም ፈረንሳይኛ አይናገርም።,Dhaaba kana irratti namni afaan Faransaayii dubbatu hin turre.,No one speaks French at the party.
ቶም ባለፈው ሳምንት ገባ።,Toom torban darbe gara manaatti gale.,Tom came in last week.
ቶም ከማርያም ጋር ተለያዩ።,Toom Maariyam wajjin addaan baʼe.,Tom broke up with Mary.
ቴምብሮችን ከየት አገኛለሁ?,Chaappaa eessaa argadha?,Where do I get the stamps?
"መኪናውን በ12,000 ዶላር ገዛን።","Konkolaataa kana doolaara 12,000 n bitanne.","We bought the car for $12,000."
የዚህ ኩባንያ የትርፍ ህዳግ በጣም ትልቅ ነው።,Bu'aan dhaabbata kanaa baayyee guddaadha.,The profit margin of this company is huge.
እንደዚህ ማብሰል እንደምትችል አላውቅም ነበር።,Akkasitti nyaata bilcheessuu akka dandeessu hin beeku ture.,I didn't know you could cook like that.
የኪዊፍሩትን ቆዳ መብላት ይቻላል።,Gogaa Kiwii firii nyaachuu dandeessaa.,The skin of kiwifruit can be eaten.
ያ ልጅ አንተን ይመስላል።,Mucaan sun si fakkaata.,That boy looks like you.
የትኛው ጃንጥላ ነው ያንተ?,Dibaabee kamtu kan keeti?,Which umbrella is yours?
ተመልካቾችህን በፍፁም አቅልለህ አትመልከት።,Dhaggeeffattoota kee gonkumaa xiqqeessuu hin qabdu.,Never underestimate your audience.
የሆነ ነገር እንደሰማሁ አውቃለሁ።,Waan tokko akkan dhaga'e nan beeka.,I knew I heard something.
አሁንም ወደ ቦስተን የመመለስ እቅድ አለህ።,Ammallee gara Boostonitti deebi'uuf karoora qabdaa.,You still have plans to return to Boston.
ከእኔ በፊት እንደት እዚህ ደረስክ።,Akkamitti na dura as geesse.,You got here before me.
እያወሩ ነው።,Isaan haasa'aa jiru.,They are talking.
ከነዚህ ነገሮች አንዱ ነበር።,Wantoota sana keessaa tokko ture.,It was one of those things.
ዛሬ ጠዋት አርፍደሃል።,Ganama kana harkifattee jirta.,You are late this morning.
ካንሰር ነው።,Kaansariidhaa.,It is cancer.
ሃይቁ ከዚህ በጣም ሩቅ ነው።,Haroon kun as irraa fagoodha.,The lake is far from here.
ጨውን አሳልፈኝ።,Soogidda naaf dabarsi.,Pass me the salt.
ዶክተር ብለው ጠሩኝ።,Doktara jedhanii na waaman.,They called me doctor.
ፊልሙ ከጠበቅኩት በላይ ነበር።,Fiilmiin sun waanan eege caalaa gaarii ture.,The movie exceeded my expectations.
ብዙውን ጊዜ በአራት ሰአት ወደ ቤት እሄዳለሁ።,Yeroo baayyee sa'aatii afuriitti gara manaatti nan deebi'a.,I usually go home at four o'clock.
እንደ ትንሽ ልጅ ነው የምትሰራው።,Akka daa'ima xiqqaatti hojjechaa jirta.,You act like a little girl.
በረጅሙ ነጭ ፀጉርህ ከሩቅ አገኝሃለሁ።,Rifeensa kee dheeraa adii ta'een fagoodhaa si arguu nan danda'a.,I can see you from afar with your long white hair.
የሆነ ነገር ጥሩ ይሸታል።,Wanti ta'e tokko foolii gaarii qaba.,Something smells good.
ምን ማድረግ እንዳለብኝ ለማወቅ በጠዋት አሳለፍኩ።,maal akkan godhu adda baasudhafan ganamaan dabarse.,I spent the morning figuring out what to do.
ቶም ዛሬ ከሰአት በኋላ ወደ ዋና ሊሄድ ነው።,Toom har'a waaree booda bishaan daakaa deemuuf jira.,Tom is going swimming this afternoon.
በካርዶች ጨዋታ ላይ ላስደስትህ እችላለሁ።,Taphni kaardii si hawwachuu danda'aa.,I can entertain you in a card game.
አርጅቸ ሊሆን ይችላል ግን አላበድኩም።,"Dulloomuu danda'a, garuu hin maraadhu.","I may be old, but I'm not crazy."
እሱ እዚህ አለ።,Inni as jira.,He is here.
በዚህ ጉዳይ ላይ መግባባት ላይ መድረስ እንችላለን።,Dhimma kana irratti waliigalteerra gahuu dandeenyaa.,We can reach an agreement on this issue.
አውሮፕላኑ በግርፋት አረፈ።,Xiyyaarri kun sagalee guddaadhaan bu'e.,The plane landed with a thud.
የኛ ጉዳይ አይደለም።,Dhimma keenya miti.,It's none of our business.
ቶም ከማርያም ጋር መስራት ይፈልጋል።,Toom Maariyaam wajjin hojjechuu barbaada.,Tom wants to work with Mary.
የጨረቃ ባለቤት ማንም የለም።,Namni ji'a abbummaasa qabu hin jiru.,No one owns the moon.
ሌላ ነገር ላገኝህ እችላለሁ።,Waan biraa siif arguu danda'aa.,I can find you something else.
በጣም ደክሞኛል።,Baay'een dadhabe.,I am so tired.
በከተማችን ውስጥ ቤተ መፃህፍት አለ።,Magaalaa keenya keessa manni kitaabaa jira.,There is a library in our town.
የፈለጋቸው እነዚያ ናቸው።,Isaan sun warra ati barbaaddee.,Those are what you want.
ንደቷን አጥታ ጮሀችኝ።,Aarii dhabdee natti iyyite.,She lost her temper and shouted at me.
ከእኔ ጋር አትመጣም።,Na waliin hin dhuftuu.,You will not come with me.
በእውነቱ እንደዚህ ያለ ነገር አደርጋለሁ ብለው ያስባሉ።,Dhuguma waan akkasii nan hojjedha jettee yaaddaa.,You really think I would do something like that.
እያንዳንዱ ተማሪ መቆለፊያ አለው።,Tokkoon tokkoon barattootaa Furtuun cufuu qabu.,Each student has a locker.
በስም አውቃታለሁ።,Maqaa isheen beeka.,I know her by name.
አለቃህ ነኝ።,Ani hogganaa kee ti.,I'm your boss.
ወድያው ወደደችው።,Achumaan isa jaallatte.,She loved him immediately.
ልጀ ጋዜጠኛ ነው።,Ilmi koo gaazexeessaadha.,My son is a journalist.
ቶም እና ሜሪ ያ እውነት እንዳልሆነ ሁለቱም ያውቃሉ።,Toomii fi Maariyam lamaan isaanii iyyuu sun dhugaa akka hin taane beeku.,Tom and Mary both know that's not true.
በእርግጠኝነት ተደሰትን አይደል?,Nuti dhuguma bashannanne mitii?,"We certainly enjoyed it, didn't we?"
"ትናንት, አንድ ፖም በላሁ።","Kaleessa, Appilii tokkon nyaadhe.","Yesterday, I ate an apple."
በስብሰባው ላይ አልነበረም።,Walgahicha irratti hin argamne.,He was not at the meeting.
ሁሉም ነገር በጥሩ ሁኔታ ተከናውኗል።,Wanti hundinuu akka gaariitti ta'e.,Everything is done well.
ይህ ሁሉ የሚሆነው እዚህ ነው።,Bakki kun hundinuu ta'a.,This is where it all happens.
በቅርቡ ክብደቴን አጣሁ።,Dhiheenya kana ulfaatina qaamaa hir'iseen jira.,I recently lost weight.
ቶም ብዙውን ጊዜ ፊልም ሲመለከት ፖፕኮርን ይበላል።,Toom yeroo baayyee yeroo fiilmii ilaalu faandishaa nyaata.,Tom often eats popcorn while watching a movie.
በቋሚ ፍርሃት ይኖራሉ።,Sodaa yeroo hunda keessa jiraatu.,They live in constant fear.
ራሴን ብሆንም ሳቅሁ።,Ofii koo utuu ta'ees jedheen kolfe.,I laughed in spite of myself.
ብዙ መስራት አለብን።,Waan baay'ee hojjechuu qabna.,We have a lot to do.
አንድ ነገር ማድረግ አለብኝ።,Waan tokko gochuun qaba.,I have to do something.
